Generation,Time
1,52.6770911216736
2,76.2905931472778
3,96.829332113266
4,118.358112096786
5,137.872909069061
6,160.368611097336
7,181.885401010513
8,205.704591989517
9,228.243987083435
10,249.746423006058
11,274.600826978683
12,295.092442989349
13,316.598680019379
14,340.396486997604
15,361.196902990341
16,383.707165956497
17,405.210688114166
18,428.022527933121
19,448.766019105911
20,471.254739046097
21,493.763025045395
22,514.226983070374
23,536.84272313118
24,557.300702095032
25,582.20126414299
26,605.741780996323
27,627.537459135056
28,650.310564041138
29,672.803362131119
30,694.261233091354
31,717.768908023834
32,741.599166154861
33,763.08562207222
34,786.587409973145
35,808.067749023438
36,830.188915967941
37,854.050801992416
38,877.902047157288
39,902.766195058823
40,924.26291513443
41,947.786682128906
42,971.702409029007
43,992.244761943817
44,1016.12634706497
45,1037.97766208649
46,1061.16218304634
47,1084.73004794121
48,1107.25572705269
49,1128.06935095787
50,1148.70767903328
51,1171.55180597305
52,1193.05593800545
53,1214.54902005196
54,1235.0552649498
55,1257.54597115517
56,1279.30251312256
57,1301.77874612808
58,1323.25409913063
59,1344.74501109123
60,1368.2564740181
61,1388.7432539463
62,1410.23131203651
63,1432.10444903374
64,1456.33176898956
65,1479.24799609184
66,1502.79107904434
67,1522.29118800163
68,1544.12332201004
69,1567.28149914742
70,1591.20260596275
71,1611.74434900284
72,1634.30238509178
73,1656.70321202278
74,1681.26586103439
75,1704.80616092682
76,1725.28292798996
77,1746.78726696968
78,1768.31269001961
79,1790.16978192329
80,1811.64712905884
81,1831.10672593117
82,1853.59996914864
83,1877.13701915741
84,1901.6749329567
85,1923.44008803368
86,1946.94027614594
87,1968.39140701294
88,1988.82880806923
89,2010.30731010437
90,2031.8387260437
91,2054.81764006615
92,2077.67442011833
93,2100.22179508209
94,2122.0596280098
95,2145.23046708107
96,2169.33801603317
97,2188.87085413933
98,2209.05419898033
99,2231.70796012878
100,2254.20760512352
