Recall,NFS,SU,MacroF1,Acc
-0.99897592,0.16666667,-0.33329727,-0.99905151,-0.99910608
-1.,0.22727273,-0.45463072,-1.,-1.
-1.,0.22727273,-0.45463072,-1.,-1.
-1.,0.1969697,-0.39504561,-1.,-1.
-1.,0.1969697,-0.39504561,-1.,-1.
-1.,0.1969697,-0.39504561,-1.,-1.
-1.,0.1969697,-0.39504561,-1.,-1.
-1.,0.1969697,-0.39504561,-1.,-1.
-1.,0.28030303,-0.54010622,-1.,-1.
-1.,0.28787879,-0.5524055,-1.,-1.
-1.,0.28787879,-0.5524055,-1.,-1.
\,n
-1.,0.47727273,-0.83488894,-1.,-1.
-0.99879808,0.17424242,-0.36345843,-0.99842061,-0.99851013
-1.,0.17424242,-0.36345843,-1.,-1.
-1.,0.48484848,-0.84664863,-1.,-1.
-0.99951923,0.52272727,-0.90087277,-0.99936796,-0.99940405
-0.99975962,0.37878788,-0.69570272,-0.99968393,-0.99970203
-0.99903846,0.40151515,-0.7308649,-0.9987363,-0.9988081
-0.99975962,0.42424242,-0.76391421,-0.99968393,-0.99970203
-0.99864661,0.51515152,-0.89171131,-0.99842013,-0.99851013
-1.,0.31060606,-0.59020236,-1.,-1.
-0.99936777,0.50757576,-0.88323001,-0.99936777,-0.99940405
-0.99903846,0.49242424,-0.86276324,-0.9987363,-0.9988081
-0.99975962,0.41666667,-0.75412666,-0.99968393,-0.99970203
-0.99903846,0.46212121,-0.8190105,-0.9987363,-0.9988081
-0.99801438,0.28030303,-0.54273737,-0.99778818,-0.99791418
-0.99975962,0.45454545,-0.80991301,-0.99968393,-0.99970203
-0.99912738,0.34848485,-0.64889503,-0.99905179,-0.99910608
-0.99975962,0.48484848,-0.85101493,-0.99968393,-0.99970203
-0.99912738,0.41666667,-0.75425894,-0.99905179,-0.99910608
-0.99855769,0.46212121,-0.82051283,-0.99810501,-0.99821216
-0.99951923,0.45454545,-0.80891762,-0.99936796,-0.99940405
-1.,0.21212121,-0.43601697,-1.,-1.
-1.,0.23484848,-0.46916084,-1.,-1.
-1.,0.22727273,-0.4567092,-1.,-1.
-0.99903846,0.46212121,-0.81807908,-0.9987363,-0.9988081
-1.,0.28787879,-0.55475427,-1.,-1.
-1.,0.27272727,-0.53106393,-1.,-1.
-1.,0.32575758,-0.61346206,-1.,-1.
-0.99879808,0.20454545,-0.41501474,-0.99842061,-0.99851013
-1.,0.21969697,-0.44268669,-1.,-1.
-0.99879808,0.18939394,-0.38799337,-0.99842061,-0.99851013
-0.99975962,0.40909091,-0.74240294,-0.99968393,-0.99970203
-0.99879808,0.18939394,-0.38799337,-0.99842061,-0.99851013
-0.99960815,0.1969697,-0.40517932,-0.99968384,-0.99970203
-1.,0.24242424,-0.48373057,-1.,-1.
-1.,0.25,-0.49476273,-1.,-1.
-1.,0.25757576,-0.50711468,-1.,-1.
-1.,0.25757576,-0.50711468,-1.,-1.
-1.,0.26515152,-0.51923776,-1.,-1.
-1.,0.3030303,-0.57823341,-1.,-1.
-1.,0.33333333,-0.62540431,-1.,-1.
-1.,0.26515152,-0.51923776,-1.,-1.
-1.,0.3030303,-0.57823341,-1.,-1.
-1.,0.31818182,-0.60202853,-1.,-1.
-1.,0.29545455,-0.56640725,-1.,-1.
-0.99975962,0.37121212,-0.68401727,-0.99968393,-0.99970203
-0.99855769,0.47727273,-0.84060623,-0.99810501,-0.99821216
-1.,0.38636364,-0.70732834,-1.,-1.
-0.99927885,0.42424242,-0.76586659,-0.99905208,-0.99910608
-1.,0.34090909,-0.63701195,-1.,-1.
-1.,0.28030303,-0.54273596,-1.,-1.
-1.,0.29545455,-0.56640725,-1.,-1.
-0.99951923,0.43939394,-0.78813373,-0.99936796,-0.99940405
-1.,0.38636364,-0.70732834,-1.,-1.
-1.,0.34090909,-0.63701195,-1.,-1.
-1.,0.33333333,-0.62540431,-1.,-1.
-0.99975962,0.39393939,-0.71914815,-0.99968393,-0.99970203
-1.,0.35606061,-0.66048102,-1.,-1.
-1.,0.35606061,-0.66048102,-1.,-1.
-1.,0.31818182,-0.60202853,-1.,-1.
-0.99951923,0.50757576,-0.88043101,-0.99936796,-0.99940405
-1.,0.24242424,-0.48373057,-1.,-1.
-1.,0.25,-0.49476273,-1.,-1.
-0.99903846,0.49242424,-0.85843413,-0.9987363,-0.9988081
-0.99975962,0.4469697,-0.79906181,-0.99968393,-0.99970203
-1.,0.20454545,-0.41501474,-1.,-1.
-0.99975962,0.5,-0.87194971,-0.99968393,-0.99970203
-0.99960815,0.1969697,-0.40517932,-0.99968384,-0.99970203
-0.99975962,0.5,-0.87194971,-0.99968393,-0.99970203
-0.99975962,0.43181818,-0.77638541,-0.99968393,-0.99970203
-0.99831731,0.45454545,-0.80953111,-0.99778951,-0.99791418
-1.,0.45454545,-0.80543475,-1.,-1.
-1.,0.4469697,-0.79577016,-1.,-1.
-0.99951923,0.46969697,-0.83144477,-0.99936796,-0.99940405
-1.,0.40909091,-0.74052357,-1.,-1.
-1.,0.46969697,-0.82688702,-1.,-1.
-1.,0.41666667,-0.75256639,-1.,-1.
-1.,0.46212121,-0.81671632,-1.,-1.
-0.99879808,0.20454545,-0.4138639,-0.99842061,-0.99851013
-1.,0.43181818,-0.77557169,-1.,-1.
-1.,0.43939394,-0.78378386,-1.,-1.
-0.99840623,0.36363636,-0.67219854,-0.99810444,-0.99821216
-1.,0.36363636,-0.67197894,-1.,-1.
-1.,0.37121212,-0.6838051,-1.,-1.
-1.,0.34848485,-0.64873159,-1.,-1.
-1.,0.40151515,-0.73065971,-1.,-1.
-1.,0.37878788,-0.69552883,-1.,-1.
-1.,0.39393939,-0.71905207,-1.,-1.
-1.,0.42424242,-0.76384796,-1.,-1.
-1.,0.39393939,-0.71905207,-1.,-1.
-1.,0.34848485,-0.64873159,-1.,-1.
-0.99855769,0.36363636,-0.67219854,-0.99810501,-0.99821216
-1.,0.37121212,-0.6838051,-1.,-1.
-0.99975962,0.34848485,-0.64889503,-0.99968393,-0.99970203
-1.,0.40151515,-0.73065971,-1.,-1.
-1.,0.37878788,-0.69552883,-1.,-1.
-1.,0.36363636,-0.67197894,-1.,-1.
-1.,0.41666667,-0.75256639,-1.,-1.
-1.,0.43181818,-0.77557169,-1.,-1.
-1.,0.40909091,-0.74052357,-1.,-1.
-1.,0.42424242,-0.76384796,-1.,-1.
-1.,0.20454545,-0.4138639,-1.,-1.
-1.,0.4469697,-0.79577016,-1.,-1.
-1.,0.43939394,-0.78378386,-1.,-1.
-1.,0.46212121,-0.81671632,-1.,-1.
-0.99960815,0.46969697,-0.82688702,-0.99968384,-0.99970203
-1.,0.45454545,-0.80543475,-1.,-1.
-1.,0.48484848,-0.84664863,-1.,-1.
-0.99951923,0.46969697,-0.82858377,-0.99936796,-0.99940405
-0.99951923,0.43939394,-0.78412602,-0.99936796,-0.99940405
-0.99951923,0.48484848,-0.84913121,-0.99936796,-0.99940405
-0.99960815,0.47727273,-0.83488894,-0.99968384,-0.99970203
-0.99975962,0.46969697,-0.83144477,-0.99968393,-0.99970203
-0.99855769,0.49242424,-0.861779,-0.99810501,-0.99821216
-0.99975962,0.48484848,-0.84747575,-0.99968393,-0.99970203
-0.99975962,0.40909091,-0.74236698,-0.99968393,-0.99970203
-0.99879808,0.41666667,-0.75411827,-0.99842061,-0.99851013
-0.99951923,0.46212121,-0.81807908,-0.99936796,-0.99940405
-0.99903846,0.49242424,-0.861779,-0.9987363,-0.9988081
