Recall,NFS,SU,MacroF1,Acc
-0.9413243,0.27272727,-0.52202708,-0.94542057,-0.94904648
-0.92610095,0.45454545,-0.73439847,-0.92442471,-0.92848629
-0.95799901,0.38636364,-0.64340903,-0.95392741,-0.95619785
-0.95175277,0.32575758,-0.56197049,-0.95422395,-0.95709178
-0.95431788,0.20454545,-0.41024099,-0.95590391,-0.95858164
-0.95547007,0.35606061,-0.63948816,-0.95142006,-0.95381406
-0.90933657,0.37878788,-0.68002955,-0.90307718,-0.90733015
-0.93348354,0.31060606,-0.5782909,-0.9308627,-0.93444577
-0.89145391,0.38636364,-0.68173851,-0.90069408,-0.90882002
-0.90625678,0.23484848,-0.44985949,-0.88517086,-0.88736591
-0.95214387,0.18939394,-0.37687242,-0.94150898,-0.94368296
-0.95470596,0.45454545,-0.72689656,-0.94794101,-0.95023838
-0.92873915,0.20454545,-0.41194515,-0.93705064,-0.94189511
-0.95738636,0.28030303,-0.53139764,-0.95044782,-0.95262217
-0.94916129,0.21212121,-0.42320598,-0.95196039,-0.95500596
-0.94060315,0.33333333,-0.61294201,-0.94449039,-0.94815256
-0.95419279,0.25757576,-0.46634427,-0.95646992,-0.95917759
-0.95623719,0.40151515,-0.67252,-0.95006389,-0.9523242
-0.95214387,0.18939394,-0.37687242,-0.94150898,-0.94368296
-0.95872016,0.37121212,-0.63355322,-0.95484878,-0.95709178
-0.95129838,0.21969697,-0.4349406,-0.95418004,-0.95709178
-0.94916129,0.21212121,-0.42320598,-0.95196039,-0.95500596
-0.89212156,0.36363636,-0.65439001,-0.88920789,-0.89481526
-0.94920349,0.40151515,-0.69203713,-0.94150836,-0.94398093
-0.95175277,0.32575758,-0.56197049,-0.95422395,-0.95709178
-0.94897968,0.42424242,-0.71686977,-0.9431674,-0.94576877
-0.93477815,0.28787879,-0.54157497,-0.94067435,-0.94487485
-0.92184335,0.34848485,-0.63960385,-0.92190725,-0.92640048
-0.95951365,0.28030303,-0.52896861,-0.95405356,-0.95619785
-0.91619996,0.21212121,-0.42367976,-0.92629076,-0.93235995
-0.95419279,0.25757576,-0.46634427,-0.95646992,-0.95917759
-0.94575974,0.32575758,-0.58873673,-0.94846906,-0.95172825
-0.95799901,0.38636364,-0.64340903,-0.95392741,-0.95619785
-0.94054964,0.40909091,-0.69241804,-0.93061905,-0.93325387
-0.95057722,0.35606061,-0.61622982,-0.95324792,-0.95619785
-0.95006028,0.23484848,-0.44554988,-0.95348367,-0.95649583
-0.90538416,0.18939394,-0.37732285,-0.88426923,-0.88647199
