Recall,NFS,SU,MacroF1,Acc
-1.,0.25757576,-0.50183513,-1.,-1.
-0.99879808,0.40909091,-0.73574385,-0.99842061,-0.99851013
-0.99768507,0.43181818,-0.76852122,-0.99715795,-0.99731824
-0.99936777,0.16666667,-0.32545568,-0.99936777,-0.99940405
-1.,0.21969697,-0.44134975,-1.,-1.
-1.,0.18181818,-0.37726212,-1.,-1.
-0.99960815,0.17424242,-0.35401874,-0.99968384,-0.99970203
-0.99855769,0.16666667,-0.32545568,-0.99810501,-0.99821216
-1.,0.23484848,-0.46027465,-1.,-1.
-1.,0.37121212,-0.67997861,-1.,-1.
-0.99960815,0.41666667,-0.74762527,-0.99968384,-0.99970203
-1.,0.40151515,-0.72198348,-1.,-1.
-0.99705284,0.45454545,-0.80328067,-0.99652638,-0.99672229
-1.,0.28030303,-0.53325577,-1.,-1.
-0.99975962,0.16666667,-0.32545568,-0.99968393,-0.99970203
-1.,0.17424242,-0.35401874,-1.,-1.
-1.,0.40151515,-0.72198348,-1.,-1.
-1.,0.27272727,-0.52578852,-1.,-1.
-1.,0.17424242,-0.35401874,-1.,-1.
\,n
-0.99849515,0.16666667,-0.34039069,-0.99841965,-0.99851013
-1.,0.40151515,-0.72476738,-1.,-1.
-0.99840623,0.43939394,-0.78065015,-0.99810444,-0.99821216
-0.99975962,0.47727273,-0.83111297,-0.99968393,-0.99970203
-0.99705284,0.46212121,-0.80936132,-0.99652638,-0.99672229
-1.,0.31818182,-0.59935873,-1.,-1.
-1.,0.23484848,-0.46937028,-1.,-1.
-0.99801438,0.31818182,-0.59942165,-0.99778818,-0.99791418
-0.99879808,0.51515152,-0.85278238,-0.99842061,-0.99851013
-0.99873553,0.15151515,-0.3138829,-0.99873553,-0.9988081
-0.99960815,0.16666667,-0.33805343,-0.99968384,-0.99970203
-0.99849515,0.15909091,-0.32851046,-0.99841965,-0.99851013
-0.99744469,0.38636364,-0.70326739,-0.99684264,-0.99702026
-1.,0.23484848,-0.46937028,-1.,-1.
-0.99801438,0.24242424,-0.47800039,-0.99778818,-0.99791418
-1.,0.28787879,-0.55169018,-1.,-1.
-0.99873553,0.15151515,-0.3138829,-0.99873553,-0.9988081
-0.99840623,0.46969697,-0.82050463,-0.99810444,-0.99821216
-0.99879808,0.45454545,-0.79682829,-0.99842061,-0.99851013
-0.99840623,0.4469697,-0.7923022,-0.99810444,-0.99821216
-0.99879808,0.42424242,-0.75545879,-0.99842061,-0.99851013
-0.99744469,0.38636364,-0.70326739,-0.99684264,-0.99702026
-1.,0.37878788,-0.69073079,-1.,-1.
-1.,0.35606061,-0.65815006,-1.,-1.
-0.99801438,0.34848485,-0.64648961,-0.99778818,-0.99791418
-0.99801438,0.21969697,-0.44310406,-0.99778818,-0.99791418
-0.99903846,0.43939394,-0.78065015,-0.9987363,-0.9988081
-1.,0.46212121,-0.80857661,-1.,-1.
-0.99801438,0.42424242,-0.75856336,-0.99778818,-0.99791418
-1.,0.25757576,-0.50498751,-1.,-1.
-0.99873553,0.17424242,-0.34993367,-0.99873553,-0.9988081
-1.,0.21969697,-0.44144537,-1.,-1.
-0.99801438,0.42424242,-0.75856336,-0.99778818,-0.99791418
-0.99960815,0.45454545,-0.79682829,-0.99968384,-0.99970203
-1.,0.29545455,-0.56340693,-1.,-1.
-0.99960815,0.15151515,-0.3138829,-0.99968384,-0.99970203
-0.99975962,0.43939394,-0.78065015,-0.99968393,-0.99970203
-0.99879808,0.43181818,-0.76616028,-0.99842061,-0.99851013
-0.99801438,0.31818182,-0.59942165,-0.99778818,-0.99791418
-0.99744469,0.46212121,-0.80936132,-0.99684264,-0.99702026
-0.99825476,0.17424242,-0.35208495,-0.99810387,-0.99821216
-0.99960815,0.16666667,-0.33564591,-0.99968384,-0.99970203
