"Framework","Algorithm","Problem","HV","GD","IGD"
"deap","nsga2","dtlz3",0,116.872729003329,1.82429865076299
"pymoo","nsga2","dtlz3",0,119.69937547473,2.04571176355226
"rmoo","nsga2","dtlz3",31.9999999482832,17.9642096246371,0.73462830081361
"deap","nsga3","dtlz3",63.7691850030815,0.0483411781168203,0.0364817936165693
"pymoo","nsga3","dtlz3",63.7799555173235,0.00155446776856817,0.00113018849423455
"rmoo","nsga3","dtlz3",63.7795910130648,0.000231762009408381,0.000224044724585785
"moeadr","moead","dtlz3",61.3313752773446,2.35552584476983,0.253396498612807
