gen,nevals,Tiempo
1,100,0.029470205307006836
2,100,0.06345748901367188
3,100,0.0933375358581543
4,100,0.11631608009338379
5,100,0.13821792602539062
6,100,0.16315126419067383
7,100,0.20603704452514648
8,100,0.22702479362487793
9,100,0.2489612102508545
10,100,0.2731170654296875
11,100,0.2980082035064697
12,100,0.33430981636047363
13,100,0.36482977867126465
14,100,0.38373851776123047
15,100,0.40871214866638184
16,100,0.42865848541259766
17,100,0.449601411819458
18,100,0.4735372066497803
19,100,0.49344491958618164
20,100,0.515387773513794
21,100,0.5423533916473389
22,100,0.5622632503509521
23,100,0.585200309753418
24,100,0.6071422100067139
25,100,0.6250936985015869
26,100,0.6490302085876465
27,100,0.6716411113739014
28,100,0.6955771446228027
29,100,0.7185170650482178
30,100,0.732478141784668
31,100,0.7514691352844238
32,100,0.7665727138519287
33,100,0.7834854125976562
34,100,0.8015124797821045
35,100,0.823448896408081
36,100,0.8493096828460693
37,100,0.8742430210113525
38,100,0.8952269554138184
39,100,0.9221558570861816
40,100,0.9451315402984619
41,100,0.9830164909362793
42,100,1.022104024887085
43,100,1.0652146339416504
44,100,1.1001198291778564
45,100,1.14599609375
46,100,1.1844141483306885
47,100,1.2113401889801025
48,100,1.2312896251678467
49,100,1.2522757053375244
50,100,1.272812843322754
51,100,1.292762041091919
52,100,1.3117120265960693
53,100,1.3306612968444824
54,100,1.3533964157104492
55,100,1.3774912357330322
56,100,1.3994731903076172
57,100,1.4263606071472168
58,100,1.444312334060669
59,100,1.4815905094146729
60,100,1.5055263042449951
61,100,1.5394353866577148
62,100,1.5593817234039307
63,100,1.5843563079833984
64,100,1.6106159687042236
65,100,1.6391713619232178
66,100,1.6677887439727783
67,100,1.6946887969970703
68,100,1.724893569946289
69,100,1.748504400253296
70,100,1.7776684761047363
71,100,1.800367832183838
72,100,1.8243021965026855
73,100,1.8472800254821777
74,100,1.8672819137573242
75,100,1.892160415649414
76,100,1.9130642414093018
77,100,1.9490089416503906
78,100,1.978403091430664
79,100,2.0043325424194336
80,100,2.0282680988311768
81,100,2.0503697395324707
82,100,2.073545455932617
83,100,2.099118709564209
84,100,2.1230154037475586
85,100,2.150941848754883
86,100,2.1974141597747803
87,100,2.2243430614471436
88,100,2.2482779026031494
89,100,2.2747867107391357
90,100,2.3037686347961426
91,100,2.3276431560516357
92,100,2.360555410385132
93,100,2.390082359313965
94,100,2.4140186309814453
95,100,2.4389889240264893
96,100,2.458895683288574
97,100,2.479923725128174
98,100,2.5012755393981934
99,100,2.533782958984375
100,100,2.5760278701782227
101,100,2.5987038612365723
102,100,2.627657651901245
103,100,2.6506030559539795
104,100,2.672316789627075
105,100,2.692263126373291
106,100,2.7152059078216553
107,100,2.7400975227355957
108,100,2.7590441703796387
109,100,2.7815799713134766
110,100,2.8045170307159424
111,100,2.8234283924102783
112,100,2.8454091548919678
113,100,2.8653550148010254
114,100,2.888308525085449
115,100,2.9133079051971436
116,100,2.933227062225342
117,100,2.958120822906494
118,100,2.980315923690796
119,100,3.0052123069763184
120,100,3.0271506309509277
121,100,3.04709792137146
122,100,3.066047191619873
123,100,3.1004934310913086
124,100,3.128420352935791
125,100,3.1494088172912598
126,100,3.1778082847595215
127,100,3.2047362327575684
128,100,3.228672742843628
129,100,3.2536065578460693
130,100,3.2820611000061035
131,100,3.308988094329834
132,100,3.330930471420288
133,100,3.361846685409546
134,100,3.3840081691741943
135,100,3.4149258136749268
136,100,3.4408562183380127
137,100,3.463796377182007
138,100,3.4892849922180176
139,100,3.5092315673828125
140,100,3.5301756858825684
141,100,3.5521187782287598
142,100,3.5786099433898926
143,100,3.605720043182373
144,100,3.6285204887390137
145,100,3.651503562927246
146,100,3.674933671951294
147,100,3.70086407661438
148,100,3.728830337524414
149,100,3.759746789932251
150,100,3.781200647354126
151,100,3.800153970718384
152,100,3.821054458618164
153,100,3.8420374393463135
154,100,3.8649377822875977
155,100,3.886366844177246
156,100,3.910252094268799
157,100,3.9337329864501953
158,100,3.964108943939209
159,100,3.98463773727417
160,100,4.013514757156372
161,100,4.04542875289917
162,100,4.074373960494995
163,100,4.0953192710876465
164,100,4.118408441543579
165,100,4.138202905654907
166,100,4.163136720657349
167,100,4.194928169250488
168,100,4.231830835342407
169,100,4.2577619552612305
170,100,4.29266619682312
171,100,4.31859827041626
172,100,4.347519397735596
173,100,4.400747537612915
174,100,4.430501937866211
175,100,4.448453426361084
176,100,4.473387002944946
177,100,4.493334770202637
178,100,4.521260023117065
179,100,4.5493080615997314
180,100,4.576155185699463
181,100,4.598053455352783
182,100,4.6209917068481445
183,100,4.6469666957855225
184,100,4.665872812271118
185,100,4.686817407608032
186,100,4.711749076843262
187,100,4.736682176589966
188,100,4.763611316680908
189,100,4.7816057205200195
190,100,4.80257773399353
191,100,4.817465782165527
192,100,4.836415529251099
193,100,4.856408357620239
194,100,4.876310586929321
195,100,4.898249387741089
196,100,4.9181976318359375
197,100,4.9382407665252686
198,100,4.960139036178589
199,100,4.98706841468811
200,100,5.009050130844116
201,100,5.028994798660278
202,100,5.059873819351196
203,100,5.086801528930664
204,100,5.111732482910156
205,100,5.141717910766602
206,100,5.166585922241211
207,100,5.187981128692627
208,100,5.211915731430054
209,100,5.234854459762573
210,100,5.261783599853516
211,100,5.285954236984253
212,100,5.311883926391602
213,100,5.337815046310425
214,100,5.367735147476196
215,100,5.392666816711426
216,100,5.413651466369629
217,100,5.435643911361694
218,100,5.4634788036346436
219,100,5.492401123046875
220,100,5.514341115951538
221,100,5.534430265426636
222,100,5.560220241546631
223,100,5.585151433944702
224,100,5.613117933273315
225,100,5.632067441940308
226,100,5.654966592788696
227,100,5.676908493041992
228,100,5.697449684143066
229,100,5.716399431228638
230,100,5.745282411575317
231,100,5.769296169281006
232,100,5.790754795074463
233,100,5.8146538734436035
234,100,5.843605041503906
235,100,5.870512962341309
236,100,5.896163702011108
237,100,5.9190638065338135
238,100,5.937609434127808
239,100,5.958002805709839
240,100,5.9789464473724365
241,100,5.994904279708862
242,100,6.013820648193359
243,100,6.036748886108398
244,100,6.056734323501587
245,100,6.073648452758789
246,100,6.090660572052002
247,100,6.110608816146851
248,100,6.130593776702881
249,100,6.1505022048950195
250,100,6.178466796875
251,100,6.197376728057861
252,100,6.226861476898193
253,100,6.25721549987793
254,100,6.282149791717529
255,100,6.301758527755737
256,100,6.317661762237549
257,100,6.332574844360352
258,100,6.3515260219573975
259,100,6.373467445373535
260,100,6.396404266357422
261,100,6.414355993270874
262,100,6.4335644245147705
263,100,6.463225364685059
264,100,6.480221271514893
265,100,6.500295162200928
266,100,6.539151191711426
267,100,6.583073854446411
268,100,6.626156806945801
269,100,6.671039342880249
270,100,6.71836519241333
271,100,6.758254528045654
272,100,6.782153367996216
273,100,6.808478832244873
274,100,6.8264312744140625
275,100,6.84139084815979
276,100,6.8573479652404785
277,100,6.875301122665405
278,100,6.892298221588135
279,100,6.911298751831055
280,100,6.928463935852051
281,100,6.947344064712524
282,100,6.965268611907959
283,100,6.9882073402404785
284,100,7.013141393661499
285,100,7.032090663909912
286,100,7.051058053970337
287,100,7.076373815536499
288,100,7.0963194370269775
289,100,7.1152684688568115
290,100,7.131438493728638
291,100,7.151172637939453
292,100,7.166682481765747
293,100,7.18280291557312
294,100,7.205578565597534
295,100,7.2225341796875
296,100,7.243478298187256
297,100,7.260944843292236
298,100,7.287874937057495
299,100,7.311849594116211
300,100,7.329803943634033
301,100,7.350705862045288
302,100,7.366297006607056
303,100,7.38324761390686
304,100,7.400163650512695
305,100,7.422143220901489
306,100,7.440095901489258
307,100,7.458048582077026
308,100,7.477953672409058
309,100,7.4979002475738525
310,100,7.515853643417358
311,100,7.537795066833496
312,100,7.559340238571167
313,100,7.577325105667114
314,100,7.594279050827026
315,100,7.614187479019165
316,100,7.63521671295166
317,100,7.654117822647095
318,100,7.668085813522339
319,100,7.684996128082275
320,100,7.699956178665161
321,100,7.717949628829956
322,100,7.735077142715454
323,100,7.7637858390808105
324,100,7.78476881980896
325,100,7.802683115005493
326,100,7.82163405418396
327,100,7.839582443237305
328,100,7.855541944503784
329,100,7.873572111129761
330,100,7.8935229778289795
331,100,7.913427114486694
332,100,7.929423093795776
333,100,7.947335720062256
334,100,7.96553897857666
335,100,7.984488010406494
336,100,8.005390405654907
337,100,8.024342060089111
338,100,8.045286417007446
339,100,8.070583820343018
340,100,8.087536334991455
341,100,8.10549020767212
342,100,8.124439477920532
343,100,8.144385814666748
344,100,8.15953016281128
345,100,8.174524784088135
346,100,8.19742226600647
347,100,8.216415405273438
348,100,8.237316370010376
349,100,8.253273010253906
350,100,8.273559808731079
351,100,8.289459228515625
352,100,8.311118125915527
353,100,8.334055423736572
354,100,8.356993675231934
355,100,8.37508487701416
356,100,8.391003370285034
357,100,8.412983179092407
358,100,8.431892156600952
359,100,8.45285940170288
360,100,8.468577146530151
361,100,8.492008686065674
362,100,8.527260303497314
363,100,8.550240278244019
364,100,8.57114291191101
365,100,8.598071336746216
366,100,8.621203422546387
367,100,8.640957593917847
368,100,8.661900043487549
369,100,8.677857398986816
370,100,8.694849252700806
371,100,8.716752290725708
372,100,8.734705209732056
373,100,8.754652500152588
374,100,8.780100584030151
375,100,8.804073810577393
376,100,8.819995641708374
377,100,8.846921443939209
378,100,8.869008779525757
379,100,8.889954805374146
380,100,8.912890911102295
381,100,8.938822269439697
382,100,8.961760520935059
383,100,8.977754592895508
384,100,8.994712352752686
385,100,9.014696598052979
386,100,9.028581142425537
387,100,9.043736457824707
388,100,9.05850076675415
389,100,9.072935581207275
390,100,9.090928077697754
391,100,9.10788345336914
392,100,9.124799728393555
393,100,9.144745349884033
394,100,9.164690256118774
395,100,9.180692911148071
396,100,9.194654703140259
397,100,9.20961046218872
398,100,9.225531101226807
399,100,9.252739667892456
400,100,9.270448207855225
401,100,9.286365509033203
402,100,9.304317712783813
403,100,9.323267221450806
404,100,9.364156723022461
405,100,9.40023922920227
406,100,9.4411301612854
407,100,9.47300124168396
408,100,9.503100395202637
409,100,9.540858745574951
410,100,9.581839323043823
411,100,9.614750385284424
412,100,9.642674207687378
413,100,9.667628765106201
414,100,9.69456958770752
415,100,9.719480514526367
416,100,9.741409540176392
417,100,9.764384269714355
418,100,9.789505958557129
419,100,9.81643271446228
420,100,9.847352981567383
421,100,9.868293762207031
422,100,9.889306783676147
423,100,9.914203643798828
424,100,9.939137697219849
425,100,9.963073968887329
426,100,9.990424871444702
427,100,10.016275644302368
428,100,10.043203592300415
429,100,10.06514573097229
430,100,10.095920085906982
431,100,10.116894960403442
432,100,10.141795873641968
433,100,10.16573166847229
434,100,10.183310985565186
435,100,10.20424747467041
436,100,10.223165512084961
437,100,10.26309585571289
438,100,10.285041809082031
439,100,10.299997091293335
440,100,10.313960790634155
441,100,10.331873655319214
442,100,10.348828315734863
443,100,10.375386953353882
444,100,10.391276359558105
445,100,10.407193660736084
446,100,10.419161081314087
447,100,10.432126522064209
448,100,10.44609022140503
449,100,10.463083744049072
450,100,10.477603912353516
451,100,10.493603229522705
452,100,10.507563591003418
453,100,10.524479150772095
454,100,10.539443492889404
455,100,10.557432174682617
456,100,10.57498288154602
457,100,10.589949369430542
458,100,10.606932640075684
459,100,10.630794048309326
460,100,10.648744106292725
461,100,10.662748098373413
462,100,10.682655096054077
463,100,10.705631256103516
464,100,10.726537466049194
465,100,10.74847936630249
466,100,10.771416187286377
467,100,10.787413358688354
468,100,10.806323051452637
469,100,10.822279691696167
470,100,10.838274002075195
471,100,10.860178709030151
472,100,10.881370782852173
473,100,10.897324562072754
474,100,10.924263715744019
475,100,10.941210269927979
476,100,10.958125591278076
477,100,10.977113008499146
478,100,10.995071172714233
479,100,11.012023687362671
480,100,11.030975818634033
481,100,11.04888129234314
482,100,11.069872856140137
483,100,11.088138103485107
484,100,11.10508918762207
485,100,11.120048761367798
486,100,11.137008666992188
487,100,11.150972127914429
488,100,11.16749119758606
489,100,11.185834884643555
490,100,11.211763381958008
491,100,11.22776198387146
492,100,11.247671842575073
493,100,11.291590690612793
494,100,11.32949185371399
495,100,11.371337175369263
496,100,11.388326168060303
497,100,11.403291702270508
498,100,11.419509887695312
499,100,11.433217287063599
500,100,11.450125455856323
