Generacion,Tiempo
1,0.0906429290771484
2,0.116744995117188
3,0.147284984588623
4,0.177083015441895
5,0.214080095291138
6,0.241990089416504
7,0.345314025878906
8,0.380638122558594
9,0.40812611579895
10,0.433709144592285
11,0.455197095870972
12,0.477385997772217
13,0.495391130447388
14,0.518934965133667
15,0.539891004562378
16,0.559651136398315
17,0.586036920547485
18,0.611158132553101
19,0.632657051086426
20,0.657546997070312
21,0.678375959396362
22,0.745434999465942
23,0.777390003204346
24,0.799495935440063
25,0.822072982788086
26,0.844007968902588
27,0.864813089370728
28,0.884542942047119
29,0.906239032745361
30,0.927812099456787
31,0.952758073806763
32,0.978426933288574
33,1.00057911872864
34,1.03005909919739
35,1.05925607681274
36,1.08494114875793
37,1.10694408416748
38,1.13194799423218
39,1.16480398178101
40,1.18607711791992
41,1.2087299823761
42,1.22926092147827
43,1.24979996681213
44,1.30613803863525
45,1.39129209518433
46,1.48685002326965
47,1.57713007926941
48,1.60803604125977
49,1.6404869556427
50,1.67955207824707
51,1.71171998977661
52,1.73524403572083
53,1.7615339756012
54,1.78696799278259
55,1.81393003463745
56,1.90928912162781
57,1.93003010749817
58,1.9532310962677
59,1.97767305374146
60,1.99833512306213
61,2.02457213401794
62,2.04700994491577
63,2.06712794303894
64,2.08681702613831
65,2.11457300186157
66,2.15147113800049
67,2.17511892318726
68,2.19572806358337
69,2.2147901058197
70,2.23696398735046
71,2.25874805450439
72,2.28399109840393
73,2.32264804840088
74,2.34859013557434
75,2.37472605705261
76,2.39544606208801
77,2.41707301139832
78,2.43643093109131
79,2.45741295814514
80,2.48431706428528
81,2.50398898124695
82,2.52650499343872
83,2.55654096603394
84,2.5777280330658
85,2.59805393218994
86,2.62951993942261
87,2.65643215179443
88,2.68679904937744
89,2.71843314170837
90,2.76761412620544
91,2.80661010742188
92,2.84053611755371
93,2.87411308288574
94,2.90642905235291
95,2.93458604812622
96,2.95806694030762
97,2.98632192611694
98,3.00978302955627
99,3.03508591651917
100,3.06253409385681
101,3.08559107780457
102,3.11389207839966
103,3.14588809013367
104,3.17543292045593
105,3.19983005523682
106,3.22101807594299
107,3.24456596374512
108,3.27397012710571
109,3.29509711265564
110,3.31429409980774
111,3.33363795280457
112,3.35419893264771
113,3.37540912628174
114,3.39344692230225
115,3.41187906265259
116,3.43466305732727
117,3.45346212387085
118,3.47531509399414
119,3.49482607841492
120,3.51573896408081
121,3.5400390625
122,3.56819701194763
123,3.59383201599121
124,3.61632204055786
125,3.64096212387085
126,3.6783390045166
127,3.7016429901123
128,3.723140001297
129,3.74742913246155
130,3.77865695953369
131,3.8119170665741
132,3.83164215087891
133,3.85853314399719
134,3.8779079914093
135,3.89974093437195
136,3.92529511451721
137,3.94767904281616
138,3.96915292739868
139,3.99561214447021
140,4.02000904083252
141,4.03953695297241
142,4.06027007102966
143,4.08443808555603
144,4.11358094215393
145,4.13688993453979
146,4.15305209159851
147,4.17358493804932
148,4.19188714027405
149,4.21312403678894
150,4.23181509971619
151,4.25336098670959
152,4.27219009399414
153,4.2937159538269
154,4.31226015090942
155,4.33502411842346
156,4.36540913581848
157,4.38647794723511
158,4.4080650806427
159,4.426922082901
160,4.44612812995911
161,4.46548008918762
162,4.49454212188721
163,4.51276397705078
164,4.53093910217285
165,4.55173110961914
166,4.57172298431396
167,4.59020900726318
168,4.60906195640564
169,4.62848305702209
170,4.64873504638672
171,4.67473793029785
172,4.69563293457031
173,4.71533703804016
174,4.73480200767517
175,4.75344395637512
176,4.7761070728302
177,4.79721593856812
178,4.82517099380493
179,4.8462610244751
180,4.87686204910278
181,4.8950080871582
182,4.91395711898804
183,4.93221998214722
184,4.95115208625793
185,4.9695999622345
186,4.99030113220215
187,5.00778412818909
188,5.02697610855103
189,5.04618906974792
190,5.06439614295959
191,5.0832691192627
192,5.10148811340332
193,5.12071204185486
194,5.14005303382874
195,5.15918612480164
196,5.17674612998962
197,5.19706106185913
198,5.23978996276855
199,5.26466202735901
200,5.28188991546631
201,5.30307292938232
202,5.32058596611023
203,5.33980298042297
204,5.35922312736511
205,5.37810397148132
206,5.39514112472534
207,5.41424894332886
208,5.43226599693298
209,5.44904899597168
210,5.46783709526062
211,5.48619604110718
212,5.50585913658142
213,5.52649307250977
214,5.55153012275696
215,5.57658791542053
216,5.59629106521606
217,5.65811204910278
218,5.68124508857727
219,5.70370197296143
220,5.72096300125122
221,5.74100208282471
222,5.76159000396729
223,5.78149700164795
224,5.80011010169983
225,5.8232090473175
226,5.84154510498047
227,5.85954213142395
228,5.8789119720459
229,5.89622712135315
230,5.9142849445343
231,5.93208599090576
232,5.95042395591736
233,5.97163200378418
234,5.9925799369812
235,6.01958107948303
236,6.03859806060791
237,6.05840492248535
238,6.0790331363678
239,6.09914803504944
240,6.1178560256958
241,6.14396715164185
242,6.16223907470703
243,6.18156599998474
244,6.20220613479614
245,6.2269880771637
246,6.248291015625
247,6.2775559425354
248,6.30305099487305
249,6.32676696777344
250,6.35230708122253
251,6.378751039505
252,6.41656994819641
253,6.44450998306274
254,6.46236705780029
255,6.48265504837036
256,6.50121808052063
257,6.52324414253235
258,6.54068899154663
259,6.55892300605774
260,6.57708096504211
261,6.59591698646545
262,6.61604905128479
263,6.63564109802246
264,6.65539693832397
265,6.67691397666931
266,6.69529914855957
267,6.71401405334473
268,6.73556900024414
269,6.75335812568665
270,6.77209305763245
271,6.90618991851807
272,6.9672520160675
273,7.02531099319458
274,7.08052396774292
275,7.139573097229
276,7.20078110694885
277,7.26903891563416
278,7.32415699958801
279,7.36260795593262
