Recall;NFS;MI;MacroF1
-1;0.424242424;-0.760076243;-1
-1;0.53030303;-0.888594359;-0.998670885
-1;0.484848485;-0.85138696;-0.999335656
-0.999451153;0.333333333;-0.633425089;-0.999778646
-0.998353458;0.409090909;-0.74723373;-0.998893231
-0.999451153;0.401515152;-0.737397749;-0.999778646
-0.999451153;0.28030303;-0.540312996;-0.999778646
-1;0.515151515;-0.87922512;-0.998670885
-0.998902305;0.393939394;-0.724979652;-0.999335939
-0.998355263;0.393939394;-0.721625783;-0.99933608
-0.998902305;0.454545455;-0.815431422;-0.999335939
-1;0.378787879;-0.69922782;-1
-1;0.522727273;-0.824573385;-1
-1;0.507575758;-0.855592641;-0.998670885
-0.998353458;0.386363636;-0.716570988;-0.998893231
-1;0.431818182;-0.772090703;-1
-0.999450851;0.424242424;-0.767890815;-0.999557245
-1;0.265151515;-0.51136855;-1
-0.999450851;0.492424242;-0.847299148;-0.999557245
-0.999451153;0.439393939;-0.781181216;-0.999778646
-0.997808219;0.340909091;-0.647071278;-0.999114867
-0.999450851;0.325757576;-0.621358104;-0.999557245
-0.999451153;0.446969697;-0.79647027;-0.999778646
-0.998901702;0.386363636;-0.714975663;-0.999114491
-1;0.409090909;-0.740747861;-1
-0.999450851;0.522727273;-0.867681357;-0.999557245
-0.998902305;0.265151515;-0.514625083;-0.999335939
-0.999450247;0.492424242;-0.868774837;-0.999114302
-0.998902907;0.371212121;-0.69056615;-0.999557339
-0.998902305;0.462121212;-0.825952652;-0.999335939
-0.999450851;0.5;-0.853960163;-0.999557245
-0.999450851;0.507575758;-0.865243224;-0.999557245
-1;0.462121212;-0.803029891;-1
-0.997808219;0.325757576;-0.623981763;-0.999114867
-1;0.333333333;-0.630937904;-1
-0.999450549;0.522727273;-0.885080322;-0.999335797
-0.99780461;0.454545455;-0.820332097;-0.998450523
-1;0.477272727;-0.836161245;-0.999114113
-1;0.356060606;-0.666127338;-1
-0.998900495;0.507575758;-0.875686492;-0.998671453
-0.999451153;0.303030303;-0.587577145;-0.999778646
-1;0.439393939;-0.782063806;-0.999557151
-0.998901702;0.371212121;-0.693789401;-0.999114491
-0.998353458;0.416666667;-0.762870717;-0.998893231
-0.999451153;0.416666667;-0.753185497;-0.999778646
-0.998901702;0.401515152;-0.741387654;-0.999114491
-0.997808219;0.363636364;-0.681234128;-0.999114867
-0.998353458;0.363636364;-0.682776664;-0.998893231
-0.999451153;0.431818182;-0.777609121;-0.999778646
-0.998353458;0.378787879;-0.707375103;-0.998893231
-0.999449945;0.507575758;-0.870714358;-0.998892759
-0.999449945;0.53030303;-0.895500729;-0.998892759
-1;0.46969697;-0.8122278;-0.999557151
-0.998902305;0.446969697;-0.801339627;-0.999335939
-1;0.416666667;-0.751933293;-1
-1;0.386363636;-0.711293288;-1
-0.998902305;0.439393939;-0.789325167;-0.999335939
-0.998901702;0.446969697;-0.803441596;-0.999114491
-0.998353458;0.424242424;-0.774297363;-0.998893231
-1;0.393939394;-0.720149611;-1
\n;;;
-1;0.583333333;-0.796630816;-0.998670885
-0.996164384;0.378787879;-0.67863355;-0.997787167
-1;0.196969697;-0.344818579;-1
-0.998902305;0.515151515;-0.838657447;-0.999335939
-1;0.356060606;-0.640163222;-1
-1;0.227272727;-0.429851742;-1
-1;0.560606061;-0.784648565;-0.998892523
-1;0.287878788;-0.535691845;-1
-1;0.257575758;-0.487463225;-1
-1;0.21969697;-0.392674851;-0.999778599
-1;0.25;-0.468786032;-1
-1;0.28030303;-0.521424199;-1
-1;0.295454545;-0.552164454;-1
-1;0.272727273;-0.510793859;-1
-0.999451153;0.21969697;-0.377787264;-0.999778646
-0.998902305;0.424242424;-0.756033461;-0.999335939
-0.999450851;0.575757576;-0.795777906;-0.999557245
-0.999451153;0.234848485;-0.445507067;-0.999778646
-1;0.242424242;-0.461549821;-1
-1;0.234848485;-0.444944761;-1
-0.998902305;0.416666667;-0.731782558;-0.999335939
-0.998902305;0.409090909;-0.719761641;-0.999335939
-0.998352554;0.416666667;-0.746927406;-0.998671736
-1;0.340909091;-0.616810549;-1
-0.999450549;0.454545455;-0.775146255;-0.999335797
-1;0.204545455;-0.354343641;-0.999778599
-0.998902305;0.5;-0.822468919;-0.999335939
-1;0.212121212;-0.365722837;-0.999778599
-1;0.325757576;-0.594007795;-1
-0.998353458;0.356060606;-0.643939184;-0.998893231
-1;0.265151515;-0.498506886;-1
-0.997808219;0.363636364;-0.654581171;-0.999114867
-1;0.348484848;-0.628148762;-1
-0.997808219;0.325757576;-0.596692931;-0.999114867
-1;0.371212121;-0.661953916;-1
-0.998902305;0.454545455;-0.78362953;-0.999335939
-0.999451153;0.439393939;-0.744158578;-0.999778646
-0.997808219;0.333333333;-0.607700317;-0.999114867
-0.998902305;0.462121212;-0.792683788;-0.999335939
-1;0.204545455;-0.353671724;-1
-0.997808219;0.318181818;-0.585369731;-0.999114867
-0.998902305;0.484848485;-0.817366746;-0.999335939
-1;0.386363636;-0.681702639;-1
-1;0.363636364;-0.651334003;-1
-0.996712329;0.477272727;-0.810717032;-0.998229733
-1;0.393939394;-0.689359563;-1
-0.998353458;0.371212121;-0.668166846;-0.998893231
-0.998902305;0.446969697;-0.772013043;-0.999335939
-0.998901702;0.401515152;-0.71343117;-0.999114491
-0.998902305;0.507575758;-0.82656437;-0.999335939
-0.999449036;0.507575758;-0.818858995;-0.998227847
-0.998352554;0.431818182;-0.758941867;-0.998671736
-0.999451153;0.401515152;-0.704434403;-0.999778646
-0.998902907;0.378787879;-0.675415678;-0.999557339
-0.999449339;0.492424242;-0.801246292;-0.998449532
-0.998902305;0.46969697;-0.799818058;-0.999335939
-0.998354361;0.492424242;-0.828689947;-0.999114679
-0.998902305;0.212121212;-0.372815324;-0.999335939
-0.999451153;0.386363636;-0.686083015;-0.999778646
-0.999451153;0.393939394;-0.69445627;-0.999778646
-0.999451153;0.318181818;-0.581754623;-0.999778646
-0.997808219;0.303030303;-0.560734457;-0.999114867
-1;0.310606061;-0.571748738;-1
-0.999450549;0.431818182;-0.732636357;-0.999335797
-0.998902305;0.401515152;-0.707653459;-0.999335939
-1;0.333333333;-0.603897915;-1
-0.997808219;0.310606061;-0.573499865;-0.999114867
