Framework;Algorithm;Problem;Seed;HV;GD;IGD;;;;
rmoo;nsga2;dtlz1;3;7.969097419;0.018846056;0.023124347;;;;
rmoo;nsga2;dtlz1;4;7.745577853;0.355361958;0.309409373;;;;
rmoo;nsga2;dtlz1;5;7.760088882;0.341755076;0.298852651;Mejor;7.96924545;1.83E-02;2.10E-02
rmoo;nsga2;dtlz1;6;7.173147802;0.715225369;0.597954154;Media;7.778460244;0.223928308;0.194294235
rmoo;nsga2;dtlz1;7;7.968319106;0.018309771;0.024188203;Peor;7.170644308;7.18E-01;5.98E-01
rmoo;nsga2;dtlz1;8;7.96924545;0.019362873;0.021038729;;;;
rmoo;nsga2;dtlz1;9;7.743911364;0.349141712;0.301082461;;;;
rmoo;nsga2;dtlz1;10;7.966273483;0.021271703;0.028406877;;;;
rmoo;nsga2;dtlz1;11;7.968817176;0.019328092;0.021672517;;;;
rmoo;nsga2;dtlz1;11;7.9672236;0.0204142;0.0255891;;;;
;;;;;;;;;;
rmoo;nsga3;dtlz1;1;7.973605449;0.000288606;0.000288055;;;;
rmoo;nsga3;dtlz1;2;7.289315973;0.68399416;0.58126935;;;;
rmoo;nsga3;dtlz1;3;7.789529276;0.332220357;0.292697185;;;;
rmoo;nsga3;dtlz1;4;7.973387919;0.001285305;0.001285159;;;;
rmoo;nsga3;dtlz1;5;2.640882336;1.913199275;1.569519686;Mejor;7.9736625;6.66E-05;5.82E-05
rmoo;nsga3;dtlz1;6;3.253304023;1.762989687;1.450092776;Media;7.047591401;0.419974527;0.350026084
rmoo;nsga3;dtlz1;7;7.973612915;0.00022208;0.000217544;Peor;2.640882336;1.91E+00;1.57E+00
rmoo;nsga3;dtlz1;8;7.973269042;0.001803069;0.001802613;;;;
rmoo;nsga3;dtlz1;9;7.973498108;0.000733403;0.000732429;;;;
rmoo;nsga3;dtlz1;10;7.784572749;0.337422264;0.296880495;;;;
rmoo;nsga3;dtlz1;11;7.972456517;0.005469521;0.005469521;;;;
rmoo;nsga3;dtlz1;11;7.9736625;0.0000666;0.0000582;;;;
;;;;;;;;;;
deap;nsga2;dtlz2;1;15.35844866;0.175377802;0.100572865;;;;
deap;nsga2;dtlz2;2;15.41979412;0.163023812;0.095290672;;;;
deap;nsga2;dtlz2;3;15.41439129;0.174656742;0.090591501;;;;
deap;nsga2;dtlz2;4;15.37252413;0.172230414;0.099650234;;;;
deap;nsga2;dtlz2;5;15.3322574;0.178199784;0.105675704;Mejor;15.41979412;1.60E-01;8.48E-02
deap;nsga2;dtlz2;6;15.32997748;0.166134538;0.104519999;Media;15.37286493;0.171013856;0.098940238
deap;nsga2;dtlz2;7;15.41887656;0.169798031;0.096888574;Peor;15.32960086;1.80E-01;1.06E-01
deap;nsga2;dtlz2;8;15.3890115;0.176389484;0.104212672;;;;
deap;nsga2;dtlz2;9;15.32960086;0.179889341;0.105438825;;;;
deap;nsga2;dtlz2;10;15.36825952;0.17076121;0.098837086;;;;
deap;nsga2;dtlz2;11;15.36532328;0.160212614;0.100814625;;;;
deap;nsga2;dtlz2;11;15.3759144;0.1654925;0.0847901;;;;
;;;;;;;;;;
deap;nsga3;dtlz2;1;15.56839532;0.153135654;0.041454413;;;;
deap;nsga3;dtlz2;2;15.56848608;0.152611227;0.041223328;;;;
deap;nsga3;dtlz2;3;15.56909271;0.153304993;0.041139958;;;;
deap;nsga3;dtlz2;4;15.56833176;0.152611125;0.041382821;;;;
deap;nsga3;dtlz2;5;15.56834875;0.152536482;0.041463354;;;;
deap;nsga3;dtlz2;6;15.56803333;0.152587008;0.041487003;;;;
deap;nsga3;dtlz2;7;15.56836997;0.152276705;0.041477008;Mejor;15.56912402;1.51E-01;4.10E-02
deap;nsga3;dtlz2;8;15.56831949;0.152486975;0.041400464;Media;15.56845815;0.152565603;0.04134407
deap;nsga3;dtlz2;9;15.56839399;0.152631579;0.041382488;Peor;15.56627811;1.54E-01;4.16E-02
deap;nsga3;dtlz2;10;15.56831682;0.152523358;0.041638929;;;;
deap;nsga3;dtlz2;11;15.5683462;0.15265307;0.041395391;;;;
deap;nsga3;dtlz2;12;15.56912402;0.153676764;0.04098102;;;;
deap;nsga3;dtlz2;13;15.5683556;0.152635457;0.041567618;;;;
deap;nsga3;dtlz2;14;15.56831729;0.152655374;0.04145665;;;;
deap;nsga3;dtlz2;15;15.56627811;0.152242056;0.041007756;;;;
deap;nsga3;dtlz2;16;15.56870745;0.150721249;0.041240146;;;;
deap;nsga3;dtlz2;17;15.56858343;0.151742388;0.041462427;;;;
deap;nsga3;dtlz2;18;15.56882503;0.152490047;0.041282048;;;;
deap;nsga3;dtlz2;19;15.56907694;0.153414619;0.0414645;;;;
deap;nsga3;dtlz2;20;15.56877954;0.153281883;0.041388805;;;;
deap;nsga3;dtlz2;21;15.56906544;0.152060354;0.041089814;;;;
deap;nsga3;dtlz2;11;15.5685321;0.1521649;0.0411836;;;;
;;;;;;;;;;
moeadr;moead;dtlz2;1;15.16749609;0.096762315;0.105390837;;;;
moeadr;moead;dtlz2;2;15.29690132;0.101105783;0.106139975;;;;
moeadr;moead;dtlz2;3;15.28230618;0.052061722;0.106250617;;;;
moeadr;moead;dtlz2;4;14.76639631;0.087261489;0.107147915;;;;
moeadr;moead;dtlz2;5;14.84358847;0.07020145;0.105644025;Mejor;15.29690132;4.55E-02;1.05E-01
moeadr;moead;dtlz2;6;14.92895048;0.045462669;0.106571689;Media;15.10778361;0.070206372;0.106145276
moeadr;moead;dtlz2;7;15.29390931;0.065926942;0.105420978;Peor;14.76639631;1.01E-01;1.08E-01
moeadr;moead;dtlz2;8;15.28988668;0.078874046;0.104911716;;;;
