GD,IGD,HV
1.6462132552053,1.94003584364447,5.06081120592567
1.64364549690689,1.93776022604969,5.06297940023453
1.64158807019224,1.92460805461904,5.27340139999864
1.64015701836945,1.93328927113488,5.0387160031323
1.6396699865641,1.92782165101457,5.1302232149895
1.64140468467448,1.9350073606904,5.07757630218641
1.64510751487286,1.94192902388308,5.04694241883686
1.63885348543746,1.92655851986243,5.12447573715282
1.63807829322333,1.92458386003252,5.17607796893675
1.63770072060754,1.89341634485754,5.45169615211396
