GD,IGD,HV
1.63278593308884,1.92314376526989,5.13106428321811
1.63447766832684,1.92531998564586,5.01628313488176
1.63049064462845,1.90505165914362,5.38560586565689
1.6344995570217,1.91098210721283,5.25866667945109
1.63226351817844,1.90055543575723,5.43855370846843
1.63466264029643,1.92879957604509,5.11009157377904
1.63404990687594,1.92399701783782,4.99168214092985
1.6355536542368,1.92870616188168,5.07832930480721
1.63425203644378,1.93294134491219,4.97539936839071
1.63425533147013,1.90803492484056,5.3181874547332
