GD,IGD,HV
1.64054941494252,1.9097175119158,5.36242132968541
1.64217306880236,1.93429175743263,5.08418626485695
1.64199661162833,1.92577506340903,5.13947116608546
1.63843549027981,1.91152730423868,5.3137194221318
1.63701916376886,1.9177335660398,5.25938462831403
1.64236943940487,1.93746230296968,5.01192989122004
1.63961007680787,1.92302462909796,5.22017537900638
1.64293374847005,1.93428768463669,5.11810602049407
1.64386310142658,1.9360243028003,5.07621975680588
1.63421969899034,1.91004142610032,5.20707897830912
