GD,IGD,HV
1.63614320971594,1.93409844125211,4.98910328884432
1.64024467817446,1.90479557657416,5.32019802657289
1.63733686730108,1.92443561928339,5.21163739924225
1.63690892121258,1.90313315639579,5.39573736276539
1.63909015580577,1.92483721904142,5.23464338878508
1.63968857237785,1.93234471875092,5.11653705033411
1.63796614066600,1.92920659761320,5.14876591085566
1.63770295867818,1.91258526292854,5.25055681329452
1.63663234820736,1.91792918596725,5.31431261188034
1.63585593119045,1.92045131738993,5.20848762094329
