Recall;NFS;MI;MacroF1
-1;0.266129032;-0.388976548;-0.998871208
-0.999840992;0.685483871;-0.810135494;-0.994358778
-1;0.322580645;-0.450691622;-0.999790942
-0.999840828;0.653225806;-0.804419207;-0.993815908
-1;0.290322581;-0.424715785;-0.999790942
-1;0.282258065;-0.410799536;-0.999122025
-1;0.346774194;-0.489482151;-0.999372857
-1;0.298387097;-0.432971277;-0.999581894
-1;0.274193548;-0.40299927;-0.999122025
-1;0.314516129;-0.451190937;-0.999665512
-1;0.330645161;-0.46427352;-0.998787606
-0.999841194;0.64516129;-0.787150565;-0.995027008
-1;0.459677419;-0.605693768;-0.998369617
-1;0.564516129;-0.715396419;-0.996405595
-1;0.338709677;-0.47780687;-0.999581894
-1;0.282258065;-0.398645294;-0.999205634
-1;0.306451613;-0.438170462;-0.999540086
-1;0.338709677;-0.478296242;-0.998871208
-1;0.451612903;-0.593817632;-0.999038418
-0.999841017;0.677419355;-0.801812193;-0.994442302
-1;0.475806452;-0.622957985;-0.99694875
-1;0.370967742;-0.514467624;-0.999289245
-1;0.322580645;-0.459936788;-0.999665512
-1;0.629032258;-0.783548035;-0.994734741
-1;0.467741935;-0.616555897;-0.998369617
-0.999841245;0.637096774;-0.778453247;-0.99519408
-0.99984132;0.580645161;-0.734348351;-0.995444699
-1;0.5;-0.647625894;-0.998077049
-1;0.387096774;-0.524526797;-0.999038418
-0.999840967;0.661290323;-0.805552495;-0.994275255
-1;0.467741935;-0.602905825;-0.998578607
-1;0.35483871;-0.491750066;-0.999414663
-0.999841446;0.532258065;-0.683811751;-0.995862427
-1;0.387096774;-0.534191966;-0.998620406
-1;0.524193548;-0.672685616;-0.997074103
-1;0.419354839;-0.55911519;-0.998954812
-1;0.516129032;-0.66545631;-0.995611866
-0.999841509;0.596774194;-0.749477252;-0.996071305
-0.99984127;0.548387097;-0.702926276;-0.995277619
-1;0.419354839;-0.562517423;-0.998787606
-0.999841684;0.572580645;-0.724560514;-0.996656212
-1;0.35483871;-0.497282416;-0.999289245
-0.999841245;0.629032258;-0.769632686;-0.99519408
-1;0.580645161;-0.716925157;-0.99694875
-1;0.540322581;-0.689897263;-0.997074103
-1;0.508064516;-0.659242582;-0.996656274
-1;0.588709677;-0.740972507;-0.994692977
-1;0.653225806;-0.791719831;-0.994484163
-1;0.443548387;-0.59766768;-0.998077049
-1;0.443548387;-0.58500041;-0.998871208
-1;0.435483871;-0.576146805;-0.998954812
-1;0.491935484;-0.639598477;-0.997993462
-0.999841295;0.596774194;-0.752467163;-0.995361158
-1;0.60483871;-0.75703671;-0.99481827
-1;0.637096774;-0.791492744;-0.994734741
-1;0.379032258;-0.524075721;-0.998453212
-1;0.661290323;-0.800572095;-0.994484163
-1;0.403225806;-0.540094767;-0.999122025
-1;0.451612903;-0.596969613;-0.998662205
-0.999840967;0.620967742;-0.774958999;-0.994275255
-1;0.483870968;-0.635889916;-0.997366606
-1;0.379032258;-0.516569868;-0.999080221
-1;0.475806452;-0.621773562;-0.998077049
-0.999840942;0.612903226;-0.767119861;-0.994191735
-1;0.532258065;-0.682079905;-0.996405595
-1;0.330645161;-0.461305639;-0.999498278
-1;0.435483871;-0.578262397;-0.998787606
-0.999840967;0.653225806;-0.797607786;-0.994275255
-1;0.5;-0.6499658;-0.997450182
-1;0.475806452;-0.610850534;-0.998578607
-1;0.483870968;-0.63346859;-0.997742709
-1;0.491935484;-0.641137148;-0.997533759
-1;0.370967742;-0.515458784;-0.999080221
-1;0.39516129;-0.544285066;-0.998745805
-1;0.427419355;-0.56818216;-0.999247439
-0.999841584;0.516129032;-0.665248926;-0.99632197
-1;0.411290323;-0.561001344;-0.998745805
-0.999841156;0.612903226;-0.766771104;-0.994901708
-1;0.620967742;-0.774638004;-0.994776505
-1;0.370967742;-0.504177926;-0.999581894
-0.99984103;0.685483871;-0.805474426;-0.994484064
-1;0.524193548;-0.6732351;-0.995820729
-1;0.540322581;-0.690282985;-0.996739837
-1;0.435483871;-0.586499361;-0.9977845
-1;0.556451613;-0.708155708;-0.996113153
-1;0.572580645;-0.723757214;-0.996238483
-1;0.548387097;-0.699384138;-0.996113153
-1;0.508064516;-0.656453217;-0.997993462
-0.999841559;0.540322581;-0.692260603;-0.996238413
-0.999841295;0.588709677;-0.742420729;-0.995361158
-0.999841333;0.60483871;-0.761377194;-0.99548647
-0.999840992;0.677419355;-0.802190785;-0.994358778
-1;0.362903226;-0.50663146;-0.999163829
