GD,IGD,HV
1.63183250,1.92865151,5.20756238
1.62777567,1.90013245,5.51933805
1.63036477,1.90850158,5.57352924
1.63266942,1.93863156,5.06658409
1.62348813,1.89516532,5.56756724
1.63032287,1.92648213,5.29853724
1.62788218,1.90954726,5.42500857
1.62850275,1.91620293,5.28624238
1.63370980,1.93179325,5.13525122
1.62671410,1.89882795,5.45770195
