GD,IGD,HV
1.63117135,1.92220148,5.28132424
1.63140878,1.91743896,5.40466261
1.62845920,1.89898518,5.42293795
1.62978641,1.92123088,5.28058356
1.62477440,1.90299150,5.44187910
1.63064574,1.92363244,5.29330398
1.63173449,1.91921107,5.39247395
1.61979188,1.86921065,5.62953703
1.62902125,1.90915971,5.44937552
1.63114980,1.92308313,5.26838246
