Generation,Time
1,5.40431094169617
2,6.11919689178467
3,6.61579298973083
4,7.18302583694458
5,8.03121900558472
6,8.70525693893433
7,9.27594995498657
8,10.2052597999573
9,11.1063477993011
10,12.0161988735199
11,13.2645988464355
12,14.2000617980957
13,15.6502199172974
14,16.4705789089203
15,17.8461549282074
16,18.3511409759521
17,19.2969439029694
18,20.1003057956696
19,20.6108930110931
20,21.133467912674
21,21.6489639282227
22,22.4644229412079
23,22.9884488582611
24,23.7938058376312
25,24.6503689289093
26,25.198380947113
27,25.6840898990631
28,26.2295699119568
29,26.8605868816376
30,27.3839888572693
31,28.2371637821198
32,28.7621519565582
33,29.326504945755
34,29.8983459472656
35,30.3837368488312
36,30.8998258113861
37,32.0127429962158
38,32.5522549152374
39,33.1327388286591
40,33.6384840011597
41,34.4814639091492
42,35.0232818126678
43,35.4990289211273
44,36.0321519374847
45,36.5633609294891
46,37.412055015564
47,37.9369878768921
48,38.7950849533081
49,39.6298868656158
50,40.1175909042358
51,40.6487607955933
52,41.1489148139954
53,41.649918794632
54,42.4529678821564
55,42.9851098060608
56,43.4726009368896
57,44.3144729137421
58,45.1489889621735
59,45.6616208553314
60,46.2652409076691
61,47.0257527828217
62,47.515487909317
63,48.2954838275909
64,48.8154318332672
65,49.3006768226624
66,50.0936388969421
67,50.5967798233032
68,51.0673799514771
69,51.5470719337463
70,52.0267558097839
71,52.4761338233948
72,52.9485139846802
73,53.4099698066711
74,53.929783821106
75,54.4158208370209
76,54.8757758140564
77,55.3510649204254
78,55.8112289905548
79,56.6021389961243
80,57.0863499641418
81,57.5881898403168
82,58.0958709716797
83,58.5757529735565
84,59.066253900528
85,59.5368127822876
86,60.0215559005737
87,60.4823169708252
88,61.5240728855133
89,61.9838049411774
90,62.7842569351196
91,63.2543540000916
92,64.0277888774872
93,64.8171548843384
94,65.5841989517212
95,66.0963909626007
96,66.5785949230194
97,67.0321128368378
98,67.498468875885
99,67.9873368740082
100,68.4743258953094
