"Framework","Algorithm","Problem","Seed","HV","GD","IGD"
"rmoo","nsga3","zdt6",1,0,4.36496101613525,4.64281870968103
"rmoo","nsga3","zdt6",2,0,4.02950474208596,4.3008585562911
"rmoo","nsga3","zdt6",3,0,3.82745611731752,4.09434830898521
"rmoo","nsga3","zdt6",4,0,3.3868550010889,3.64297201355813
"rmoo","nsga3","zdt6",5,0,4.05309322342437,4.32488926115676
"rmoo","nsga3","zdt6",6,0,3.69234305985894,3.95622317909775
"rmoo","nsga3","zdt6",7,0,3.43914078227882,3.69658332494395
"rmoo","nsga3","zdt6",8,0,3.82898989011963,4.09599624582203
"rmoo","nsga3","zdt6",9,0,3.85487131814895,4.12247645383166
"rmoo","nsga3","zdt6",10,0,4.08310393633656,4.35541625946126
"rmoo","nsga3","zdt6",11,0,3.82745611731752,4.09434830898521
