Recall,NFS,SU,MacroF1,Acc
-0.99825839,0.50806452,-0.66377527,-0.99819065,-0.99819495
-0.99868813,0.50806452,-0.66328302,-0.99864293,-0.99864621
-0.99978513,0.25806452,-0.38209857,-0.99977381,-0.99977437
-0.99933273,0.41935484,-0.56267284,-0.99932142,-0.9993231
-0.99933273,0.46774194,-0.61849245,-0.99932142,-0.9993231
-0.99933273,0.37096774,-0.50690724,-0.99932142,-0.9993231
-0.99957026,0.22580645,-0.32180372,-0.99954762,-0.99954874
-0.99868813,0.58870968,-0.72483319,-0.99864293,-0.99864621
-0.99911786,0.53225806,-0.68472913,-0.99909524,-0.99909747
-0.99890299,0.42741935,-0.57841615,-0.99886908,-0.99887184
-0.99957026,0.2983871,-0.42772116,-0.99954762,-0.99954874
-0.99890299,0.37096774,-0.51690006,-0.99886908,-0.99887184
-0.99868813,0.5,-0.65868422,-0.99864293,-0.99864621
-0.99868813,0.50806452,-0.66328302,-0.99864293,-0.99864621
-0.99978513,0.27419355,-0.40041294,-0.99977381,-0.99977437
-0.99890299,0.41935484,-0.57323858,-0.99886908,-0.99887184
-0.99911786,0.49193548,-0.64190807,-0.99909524,-0.99909747
-0.99890299,0.54032258,-0.69387241,-0.99886908,-0.99887184
-0.99933273,0.40322581,-0.55297729,-0.99932142,-0.9993231
-0.99868813,0.45967742,-0.61684296,-0.99864293,-0.99864621
-0.99890299,0.49193548,-0.65280348,-0.99886908,-0.99887184
-0.99957026,0.2983871,-0.42772116,-0.99954762,-0.99954874
-0.99761378,0.54032258,-0.69521075,-0.9975123,-0.99751805
-0.99890299,0.48387097,-0.6317825,-0.99886908,-0.99887184
-0.99890299,0.43548387,-0.58897475,-0.99886908,-0.99887184
-0.99933273,0.41935484,-0.56267284,-0.99932142,-0.9993231
-0.99804352,0.53225806,-0.68575969,-0.99796452,-0.99796931
\,n
-0.99890299,0.34677419,-0.48470691,-0.99886908,-0.99887184
-0.99911786,0.49193548,-0.63338185,-0.99909524,-0.99909747
-0.99868813,0.33870968,-0.48078342,-0.99864293,-0.99864621
-0.99567996,0.62096774,-0.77048549,-0.99547778,-0.99548736
-0.99739891,0.58870968,-0.75301407,-0.99728621,-0.99729242
-0.99933273,0.40322581,-0.53293686,-0.99932142,-0.9993231
-0.99868813,0.21774194,-0.32706677,-0.99864293,-0.99864621
-0.99804352,0.46774194,-0.62422273,-0.99796452,-0.99796931
-0.9995476,0.20967742,-0.31782174,-0.9995476,-0.99954874
-0.9995476,0.30645161,-0.42179676,-0.9995476,-0.99954874
-0.99739891,0.40322581,-0.55212671,-0.99728621,-0.99729242
-0.99525022,0.64516129,-0.7977954,-0.99502577,-0.9950361
-0.99868813,0.34677419,-0.48915442,-0.99864293,-0.99864621
-0.99653944,0.46774194,-0.62477741,-0.99638192,-0.99638989
-0.99933273,0.24193548,-0.36487795,-0.99932142,-0.9993231
-0.99890299,0.34677419,-0.48470691,-0.99886908,-0.99887184
-0.99804352,0.48387097,-0.64269092,-0.99796452,-0.99796931
-0.99739891,0.55645161,-0.71771469,-0.99728621,-0.99729242
-0.99868813,0.21774194,-0.32779662,-0.99864293,-0.99864621
-0.99911786,0.33870968,-0.47364644,-0.99909524,-0.99909747
-0.99868813,0.39516129,-0.5423564,-0.99864293,-0.99864621
-0.99911786,0.46774194,-0.61923501,-0.99909524,-0.99909747
-0.99847326,0.25,-0.37590125,-0.99841678,-0.99842058
-0.99804352,0.43548387,-0.58872431,-0.99796452,-0.99796931
-0.99782865,0.51612903,-0.67279246,-0.99773841,-0.99774368
-0.99868813,0.20967742,-0.31796078,-0.99864293,-0.99864621
-0.99546509,0.62903226,-0.78351287,-0.99525177,-0.99526173
-0.99696917,0.50806452,-0.66826516,-0.99683405,-0.99684116
-0.99868813,0.33064516,-0.47181562,-0.99864293,-0.99864621
-0.99890299,0.33064516,-0.45404032,-0.99886908,-0.99887184
-0.99653944,0.46774194,-0.62477741,-0.99638192,-0.99638989
-0.99804352,0.44354839,-0.59786078,-0.99796452,-0.99796931
-0.99890299,0.30645161,-0.44261555,-0.99886908,-0.99887184
-0.99847326,0.41935484,-0.57038373,-0.99841678,-0.99842058
-0.99868813,0.33870968,-0.48078342,-0.99864293,-0.99864621
-0.99933273,0.22580645,-0.34238017,-0.99932142,-0.9993231
-0.99782865,0.5,-0.65816608,-0.99773841,-0.99774368
-0.99825839,0.4516129,-0.60715823,-0.99819065,-0.99819495
-0.99847326,0.2016129,-0.30597373,-0.99841678,-0.99842058
-0.99761378,0.57258065,-0.73158332,-0.9975123,-0.99751805
-0.99782865,0.42741935,-0.57886054,-0.99773841,-0.99774368
-0.99567996,0.62096774,-0.77048549,-0.99547778,-0.99548736
-0.99847326,0.25,-0.37590125,-0.99841678,-0.99842058
-0.99911786,0.36290323,-0.50685046,-0.99909524,-0.99909747
-0.99739891,0.40322581,-0.55212671,-0.99728621,-0.99729242
-0.99868813,0.33064516,-0.47181562,-0.99864293,-0.99864621
-0.99911786,0.46774194,-0.61923501,-0.99909524,-0.99909747
-0.99933273,0.24193548,-0.36755603,-0.99932142,-0.9993231
-0.99739891,0.58064516,-0.74407158,-0.99728621,-0.99729242
-0.99911786,0.29032258,-0.42045013,-0.99909524,-0.99909747
-0.99825839,0.47580645,-0.63343059,-0.99819065,-0.99819495
-0.99761378,0.58870968,-0.74830735,-0.9975123,-0.99751805
-0.99890299,0.41935484,-0.55040011,-0.99886908,-0.99887184
-0.99696917,0.48387097,-0.64318653,-0.99683405,-0.99684116
-0.99933273,0.24193548,-0.36487795,-0.99932142,-0.9993231
-0.99847326,0.47580645,-0.63106401,-0.99841678,-0.99842058
-0.99804352,0.51612903,-0.67441441,-0.99796452,-0.99796931
-0.99868813,0.21774194,-0.32779662,-0.99864293,-0.99864621
-0.99890299,0.26612903,-0.39263606,-0.99886908,-0.99887184
-0.99868813,0.33064516,-0.47181562,-0.99864293,-0.99864621
-0.99825839,0.48387097,-0.64067115,-0.99819065,-0.99819495
-0.99890299,0.26612903,-0.39263606,-0.99886908,-0.99887184
-0.99868813,0.34677419,-0.48915442,-0.99864293,-0.99864621
-0.99933273,0.19354839,-0.29672467,-0.99932142,-0.9993231
-0.99675431,0.48387097,-0.64324039,-0.99660798,-0.99661552
-0.99868813,0.21774194,-0.32779662,-0.99864293,-0.99864621
-0.99546509,0.63709677,-0.78883358,-0.99525177,-0.99526173
-0.99847326,0.47580645,-0.63348445,-0.99841678,-0.99842058
-0.99868813,0.38709677,-0.53491404,-0.99864293,-0.99864621
-0.99847326,0.37903226,-0.5260673,-0.99841678,-0.99842058
-0.99825839,0.47580645,-0.63343059,-0.99819065,-0.99819495
-0.99890299,0.37096774,-0.5083401,-0.99886908,-0.99887184
-0.99761378,0.57258065,-0.73140134,-0.9975123,-0.99751805
-0.99911786,0.27419355,-0.39957161,-0.99909524,-0.99909747
-0.99933273,0.18548387,-0.28457861,-0.99932142,-0.9993231
-0.99653944,0.46774194,-0.62477741,-0.99638192,-0.99638989
-0.99847326,0.47580645,-0.63106401,-0.99841678,-0.99842058
-0.99761378,0.5,-0.65945389,-0.9975123,-0.99751805
-0.99825839,0.4516129,-0.60715823,-0.99819065,-0.99819495
-0.99868813,0.33064516,-0.47181562,-0.99864293,-0.99864621
-0.99933273,0.22580645,-0.34238017,-0.99932142,-0.9993231
-0.99847326,0.47580645,-0.63106401,-0.99841678,-0.99842058
-0.99653944,0.46774194,-0.62477741,-0.99638192,-0.99638989
-0.99890299,0.35483871,-0.49815106,-0.99886908,-0.99887184
-0.99868813,0.30645161,-0.44512036,-0.99864293,-0.99864621
-0.99911786,0.2016129,-0.3056865,-0.99909524,-0.99909747
-0.99847326,0.47580645,-0.63106401,-0.99841678,-0.99842058
-0.99868813,0.41935484,-0.56809814,-0.99864293,-0.99864621
-0.99782865,0.5,-0.65908758,-0.99773841,-0.99774368
-0.99761378,0.57258065,-0.73158332,-0.9975123,-0.99751805
-0.99868813,0.33870968,-0.48078342,-0.99864293,-0.99864621
-0.99782865,0.44354839,-0.59853696,-0.99773841,-0.99774368
-0.99911786,0.33064516,-0.47017103,-0.99909524,-0.99909747
-0.99868813,0.39516129,-0.5423564,-0.99864293,-0.99864621
-0.9995476,0.21774194,-0.32680313,-0.9995476,-0.99954874
-0.99761378,0.57258065,-0.73158332,-0.9975123,-0.99751805
-0.99825839,0.47580645,-0.63343059,-0.99819065,-0.99819495
-0.99868813,0.33870968,-0.48078342,-0.99864293,-0.99864621
-0.99696917,0.48387097,-0.64318653,-0.99683405,-0.99684116
-0.99847326,0.47580645,-0.63106401,-0.99841678,-0.99842058
-0.99890299,0.31451613,-0.45227977,-0.99886908,-0.99887184
-0.99739891,0.52419355,-0.68537593,-0.99728621,-0.99729242
-0.99782865,0.53225806,-0.68897652,-0.99773841,-0.99774368
-0.99825839,0.4516129,-0.60715823,-0.99819065,-0.99819495
-0.99868813,0.41935484,-0.56809814,-0.99864293,-0.99864621
-0.99890299,0.33064516,-0.47079733,-0.99886908,-0.99887184
