Recall,NFS,SU,MacroF1,Acc
-0.9995476,0.39516129,-0.54419914,-0.9995476,-0.99954874
-0.99782865,0.57258065,-0.73070117,-0.99773841,-0.99774368
-0.9995476,0.32258065,-0.462763,-0.9995476,-0.99954874
-0.99933273,0.44354839,-0.60006668,-0.99932142,-0.9993231
-0.99804352,0.53225806,-0.69641145,-0.99796452,-0.99796931
-0.99718404,0.55645161,-0.71996576,-0.99706012,-0.99706679
-0.99847326,0.49193548,-0.65269982,-0.99841678,-0.99842058
-0.99804352,0.51612903,-0.67432454,-0.99796452,-0.99796931
-0.99847326,0.48387097,-0.64244593,-0.99841678,-0.99842058
-0.99933273,0.35483871,-0.49990921,-0.99932142,-0.9993231
-0.99957026,0.43548387,-0.57946613,-0.99954762,-0.99954874
-0.9995476,0.32258065,-0.46452486,-0.9995476,-0.99954874
-0.99933273,0.33870968,-0.48141908,-0.99932142,-0.9993231
-0.99976247,0.26612903,-0.39784487,-0.9997738,-0.99977437
-0.99933273,0.33870968,-0.4827597,-0.99932142,-0.9993231
-0.99957026,0.37096774,-0.51175754,-0.99954762,-0.99954874
-0.99976247,0.29032258,-0.42752103,-0.9997738,-0.99977437
-0.99976247,0.30645161,-0.44607864,-0.9997738,-0.99977437
-0.99976247,0.26612903,-0.39784487,-0.9997738,-0.99977437
-0.99957026,0.35483871,-0.488949,-0.99954762,-0.99954874
-0.99933273,0.37903226,-0.52641748,-0.99932142,-0.9993231
-0.99742157,0.60483871,-0.75840493,-0.99728633,-0.99729242
-0.99718404,0.58870968,-0.74711563,-0.99706012,-0.99706679
-0.9995476,0.2983871,-0.43547699,-0.9995476,-0.99954874
-0.9995476,0.2983871,-0.43547699,-0.9995476,-0.99954874
-0.99976247,0.29032258,-0.42752103,-0.9997738,-0.99977437
-0.99847326,0.48387097,-0.64472714,-0.99841678,-0.99842058
\,n
-0.99653944,0.7016129,-0.86482229,-0.99638192,-0.99638989
-0.99978513,0.32258065,-0.46141578,-0.99977381,-0.99977437
-0.99525022,0.65322581,-0.82551795,-0.99502577,-0.9950361
-0.99718404,0.70967742,-0.85655995,-0.99706012,-0.99706679
-0.99957026,0.22580645,-0.32634507,-0.99954762,-0.99954874
-0.99696917,0.66935484,-0.82905651,-0.99683405,-0.99684116
-0.99632457,0.58870968,-0.75843995,-0.99615587,-0.99616426
-1.,0.23387097,-0.36001034,-1.,-1.
-0.99567996,0.65322581,-0.82475604,-0.99547778,-0.99548736
-0.9995476,0.26612903,-0.39796752,-0.9995476,-0.99954874
-0.99589483,0.63709677,-0.80862888,-0.9957038,-0.995713
-0.99718404,0.50806452,-0.6708684,-0.99706012,-0.99706679
-0.99871079,0.58064516,-0.73348271,-0.99864299,-0.99864621
-0.99782865,0.37096774,-0.51975425,-0.99773841,-0.99774368
-0.99567996,0.67741935,-0.85015442,-0.99547778,-0.99548736
-0.99696917,0.67741935,-0.83797102,-0.99683405,-0.99684116
-0.99976247,0.29032258,-0.42906685,-0.9997738,-0.99977437
-0.9961097,0.60483871,-0.7745093,-0.99592983,-0.99593863
-0.99739891,0.48387097,-0.64502075,-0.99728621,-0.99729242
-0.99567996,0.62903226,-0.80050985,-0.99547778,-0.99548736
-0.99718404,0.7016129,-0.86481781,-0.99706012,-0.99706679
-0.99825839,0.34677419,-0.49355432,-0.99819065,-0.99819495
-0.99849592,0.57258065,-0.7248941,-0.99841685,-0.99842058
-0.99589483,0.64516129,-0.81758768,-0.9957038,-0.995713
-0.99718404,0.47580645,-0.63641082,-0.99706012,-0.99706679
-0.99892566,0.54032258,-0.68927328,-0.99886913,-0.99887184
-0.99804352,0.60483871,-0.76122411,-0.99796452,-0.99796931
-0.99761378,0.51612903,-0.68075827,-0.9975123,-0.99751805
-0.99849592,0.61290323,-0.74795143,-0.99841685,-0.99842058
-0.99890299,0.39516129,-0.54709025,-0.99886908,-0.99887184
-0.99632457,0.57258065,-0.74186971,-0.99615587,-0.99616426
-0.99761378,0.66129032,-0.82324266,-0.9975123,-0.99751805
-0.99718404,0.5,-0.66295693,-0.99706012,-0.99706679
-0.99935539,0.53225806,-0.68016335,-0.99932145,-0.9993231
-0.99957026,0.51612903,-0.65894848,-0.99954762,-0.99954874
-0.99957026,0.47580645,-0.61899249,-0.99954762,-0.99954874
-0.99976247,0.2983871,-0.43827571,-0.9997738,-0.99977437
-0.99675431,0.5483871,-0.71507301,-0.99660798,-0.99661552
-0.99976247,0.28225806,-0.41914981,-0.9997738,-0.99977437
-0.9961097,0.62096774,-0.79063389,-0.99592983,-0.99593863
-0.99849592,0.59677419,-0.75105228,-0.99841685,-0.99842058
-0.99739891,0.43548387,-0.59214418,-0.99728621,-0.99729242
-0.99825839,0.51612903,-0.67874412,-0.99819065,-0.99819495
-0.99933273,0.36290323,-0.50892303,-0.99932142,-0.9993231
-0.99933273,0.25,-0.37658652,-0.99932142,-0.9993231
-0.9972067,0.60483871,-0.76493555,-0.99706025,-0.99706679
-0.99718404,0.46774194,-0.62744755,-0.99706012,-0.99706679
-0.99828105,0.56451613,-0.71596781,-0.99819073,-0.99819495
-0.99978513,0.32258065,-0.46141578,-0.99977381,-0.99977437
-0.9995476,0.30645161,-0.44734208,-0.9995476,-0.99954874
-0.99933273,0.38709677,-0.53816546,-0.99932142,-0.9993231
-0.99933273,0.41129032,-0.56317212,-0.99932142,-0.9993231
-0.99933273,0.31451613,-0.4540615,-0.99932142,-0.9993231
-0.99847326,0.36290323,-0.51142382,-0.99841678,-0.99842058
-0.99677697,0.62096774,-0.78181415,-0.99660812,-0.99661552
-0.99957026,0.51612903,-0.66363363,-0.99954762,-0.99954874
-0.99696917,0.65322581,-0.8207359,-0.99683405,-0.99684116
-0.9995476,0.33064516,-0.47349536,-0.9995476,-0.99954874
-0.99525022,0.65322581,-0.82551795,-0.99502577,-0.9950361
-0.9995476,0.35483871,-0.50176467,-0.9995476,-0.99954874
-0.9972067,0.58870968,-0.74289799,-0.99706025,-0.99706679
