Framework;Algorithm;Problem;Seed;HV;GD;IGD;;;;
deap;nsga3;zdt1;3;3.661702608;0.004021936;0.002469464;;;;
deap;nsga3;zdt1;4;3.661571231;0.003534195;0.002299019;;;;
deap;nsga3;zdt1;5;3.66157;0.00354875;0.002304184;Mejor;3.661702608;0.003497246;0.002279849
deap;nsga3;zdt1;6;3.661573986;0.003549285;0.002307127;Media;3.661581081;0.003567247;0.002310441
deap;nsga3;zdt1;7;3.661568895;0.003549624;0.002319674;Peor;3.661565657;0.004021936;0.002279849
deap;nsga3;zdt1;8;3.661572763;0.003528616;0.002292065;;;;
deap;nsga3;zdt1;9;3.661572737;0.003517632;0.002289335;;;;
deap;nsga3;zdt1;10;3.661568126;0.003502545;0.002279849;;;;
deap;nsga3;zdt1;11;3.661568421;0.003497246;0.002280489;;;;
deap;nsga3;zdt1;11;3.66157036;0.00351531;0.00228618;;;;
;;;;;;;;;;
deap;nsga3;zdt2;1;3.328490651;0.00358821;0.002090907;;;;
deap;nsga3;zdt2;2;3.328339277;0.003674139;0.002247364;;;;
deap;nsga3;zdt2;3;3.328487778;0.003589523;0.002091726;;;;
deap;nsga3;zdt2;4;3.328489719;0.003583119;0.002088048;;;;
deap;nsga3;zdt2;5;3.327193762;0.005096652;0.002559762;Mejor;3.328490844;0.003582052;0.00208556
deap;nsga3;zdt2;6;3.328463902;0.003582052;0.002087281;Media;3.328367292;0.003719789;0.002141953
deap;nsga3;zdt2;7;3.328490653;0.003584473;0.002089993;Peor;3.327193762;0.005096652;0.00208556
deap;nsga3;zdt2;8;3.328489767;0.003598035;0.002095074;;;;
deap;nsga3;zdt2;9;3.328490118;0.003588463;0.002088567;;;;
deap;nsga3;zdt2;10;3.328490844;0.00358505;0.002090107;;;;
deap;nsga3;zdt2;11;3.328490658;0.003582916;0.002089048;;;;
deap;nsga3;zdt2;11;3.32849038;0.00358484;0.00208556;;;;
;;;;;;;;;;
deap;nsga3;zdt3;1;4.814269872;0.004709517;0.001564834;;;;
deap;nsga3;zdt3;2;4.811375948;0.005844229;0.001943014;;;;
deap;nsga3;zdt3;3;4.813523696;0.003966389;0.001588508;;;;
deap;nsga3;zdt3;4;4.813606459;0.005148193;0.001678462;;;;
deap;nsga3;zdt3;5;4.813488491;0.004118027;0.001624491;Mejor;4.814269872;0.003966389;0.001487703
deap;nsga3;zdt3;6;4.813815264;0.004542565;0.001487703;Media;4.813460241;0.004685422;0.001639791
deap;nsga3;zdt3;7;4.813157824;0.004684428;0.001672958;Peor;4.811375948;0.005844229;0.001487703
deap;nsga3;zdt3;8;4.813756499;0.004211685;0.001610149;;;;
deap;nsga3;zdt3;9;4.812981291;0.004660531;0.001789741;;;;
deap;nsga3;zdt3;10;4.813838481;0.004731185;0.001587596;;;;
deap;nsga3;zdt3;11;4.813885691;0.004745129;0.001549179;;;;
deap;nsga3;zdt3;11;4.81382338;0.00486318;0.00158086;;;;
;;;;;;;;;;
deap;nsga3;zdt4;1;15.66156917;0.003519962;0.00229718;;;;
deap;nsga3;zdt4;2;15.09434191;0.121830124;0.124943834;;;;
deap;nsga3;zdt4;3;14.48571337;0.24472163;0.254818082;;;;
deap;nsga3;zdt4;4;13.1802528;0.501516875;0.525179405;;;;
deap;nsga3;zdt4;5;13.84612772;0.368252314;0.388307839;Mejor;15.66156917;0.003519962;0.00229718
deap;nsga3;zdt4;6;14.48606024;0.242002238;0.254829261;Media;14.08885461;0.320835717;0.335884701
deap;nsga3;zdt4;7;13.18022092;0.501288388;0.525134476;Peor;12.49446569;0.631284551;0.00229718
deap;nsga3;zdt4;8;14.48575867;0.244735294;0.254820563;;;;
deap;nsga3;zdt4;9;14.4855241;0.244719329;0.254822902;;;;
deap;nsga3;zdt4;10;13.18050319;0.501448134;0.525132329;;;;
deap;nsga3;zdt4;11;12.49446569;0.631284551;0.665513594;;;;
deap;nsga3;zdt4;11;14.48571759;0.24470976;0.25481695;;;;
;;;;;;;;;;
deap;nsga3;zdt5;1;3.801166095;0.152420742;0.067756674;;;;
deap;nsga3;zdt5;2;3.760289771;0.190767337;0.081723793;;;;
deap;nsga3;zdt5;3;3.796741206;0.158462533;0.068006978;;;;
deap;nsga3;zdt5;4;3.778633687;0.174776545;0.074847998;;;;
deap;nsga3;zdt5;5;3.781028599;0.174392155;0.074742773;Mejor;3.801166095;0.152420742;0.067756674
