GD,IGD,HV
[1.56320904,1.77262755,5.79747300
1.545538990,1.70950088,5.71564721
1.579641190,1.78391614,5.65543751
1.589684710,1.76368369,5.71410887
1.600307330,1.85923164,5.42784755
1.592841790,1.83992053,5.62002033
1.595684400,1.84175337,5.68132921
1.571591880,1.78573936,5.69978330
1.551759040,1.65334746,5.71300487
1.567349520,1.75825763,5.74747777
