GD,IGD,HV
1.59996034,1.81726242,5.27069725
1.56733239,1.73267130,5.48176538
1.58982391,1.82585969,5.32525845
1.58694536,1.76580700,5.34218063
1.60408025,1.87437263,5.34252662
1.59828614,1.84684437,5.27045195
1.55382326,1.65303186,5.63872909
1.59901628,1.83722194,5.19812910
1.58836170,1.77049085,5.39462764
1.60487704,1.78613881,5.32661100
