GD,IGD,HV
1.69228058,1.91432443,6.03052936
1.69773732,1.94392108,5.91352663
1.70324709,1.94760177,5.89764039
1.69734513,1.93243067,6.10431213
1.69676607,1.92205953,5.99495304
1.69046006,1.92726440,5.97079202
1.69569746,1.92741953,6.12469740
1.69855034,1.94130199,5.96018527
1.68988847,1.92400837,6.05266978
1.69415322,1.91613342,6.16713754
