GD,IGD,HV
1.67423443,1.92811120,5.91046867
1.68281188,1.92925146,5.92976644
1.69326068,1.93757095,5.85702519
1.69174133,1.93777976,5.96415240
1.68268824,1.94328835,5.63684134
1.69131978,1.94293960,5.77409904
1.69600220,1.94546805,5.86155951
1.67731702,1.92034728,5.96815717
1.69514316,1.94531484,5.83593732
1.67644971,1.91951817,6.02680766
