"Framework","Algorithm","Problem","Seed","HV","GD","IGD"
"moeadr","moead","zdt2",1,3.32799111960376,0.0039666121775709,0.00220344064014792
"moeadr","moead","zdt2",2,3.32841454448376,0.00358929903523374,0.00209841406026619
"moeadr","moead","zdt2",3,3.32848992806997,0.00358328154729441,0.00208835267146988
"moeadr","moead","zdt2",4,3.32829782431763,0.00359496680361769,0.00210547626123933
"moeadr","moead","zdt2",5,3.32829107607019,0.00359857684113034,0.00211162727040742
"moeadr","moead","zdt2",6,3.32542821209056,0.00651612989380262,0.00220113198266498
"moeadr","moead","zdt2",7,3.32615911396035,0.00567010075114753,0.00221279468409737
"moeadr","moead","zdt2",8,3.32394171328145,0.00798722168243156,0.00220356731268744
"moeadr","moead","zdt2",9,3.32807024024151,0.00391078029341214,0.00219372130086973
"moeadr","moead","zdt2",10,3.32845216598134,0.00359377058761332,0.00210334081285863
"moeadr","moead","zdt2",11,3.32839545718848,0.00362842085869942,0.00214002769532153
