f1,f2,f3
5,60,59,92,2,55,11,66,97,39,35,84,89,99,69,51,15,70,18,47,21,50,3,56,96,33,91,76,7,86,65,6,79,26,25,8,88,34,57,41,54,64,42,74,82,87,45,48,38,46,77,93,80,58,75,98,29,83,43,10,63,44,81,22,27,85,53,90,94,14,1,31,49,20,68,16,12,73,72,61,30,19,52,24,17,95,62,36,37,40,78,28,0,13,9,32,23,4,71,67
76,38,47,37,15,90,6,75,19,56,93,23,69,31,79,96,53,91,64,60,32,7,36,70,48,61,81,27,18,87,11,40,84,22,58,78,5,62,42,50,85,83,71,44,89,59,14,29,51,24,9,74,65,68,0,72,1,99,41,10,63,2,54,26,43,33,13,4,95,46,86,97,45,82,80,39,49,66,34,77,94,35,92,57,25,88,30,3,8,73,52,55,17,67,12,20,16,28,21,98
83,33,87,28,18,7,53,31,22,8,21,58,71,73,36,96,43,70,49,60,55,6,80,59,69,77,37,13,20,62,75,91,2,54,97,64,57,66,50,9,76,98,35,94,15,52,88,25,41,0,42,68,56,61,93,67,12,10,44,11,51,48,82,78,26,95,24,23,27,16,90,17,72,1,89,74,65,46,34,79,32,38,47,84,30,85,14,99,3,39,5,4,81,19,86,29,63,45,40,92
20,49,69,71,29,35,61,86,85,34,24,14,8,15,39,3,28,21,58,13,52,72,54,89,33,16,68,32,37,40,92,63,44,97,57,41,27,81,2,17,84,23,26,25,6,80,91,56,47,7,76,78,98,95,31,88,67,75,22,96,12,64,42,74,82,87,45,48,30,70,18,79,60,59,99,5,19,1,9,51,83,38,46,62,94,90,55,73,50,10,43,0,53,11,66,93,77,36,65,4
53,35,97,92,57,95,61,28,16,86,66,51,74,80,46,91,71,43,33,32,30,47,7,56,39,49,31,75,78,34,52,20,11,85,50,76,60,90,6,94,8,42,81,4,36,79,48,1,23,29,84,40,64,83,21,98,70,15,93,25,88,26,67,45,69,0,72,63,10,82,44,24,9,27,65,87,13,54,73,41,68,5,59,37,62,55,17,38,3,22,77,2,19,99,14,58,12,96,89,18
35,41,86,30,75,31,29,78,80,37,36,20,64,6,93,45,76,12,18,53,73,49,14,88,2,52,72,27,48,99,69,77,15,34,7,11,55,28,82,91,89,84,16,68,79,85,81,90,50,87,47,74,13,17,61,67,23,43,44,1,62,63,40,3,42,96,70,9,94,98,57,83,33,25,38,46,39,22,8,71,32,60,5,95,21,51,56,66,4,0,24,58,19,10,26,65,59,97,92,54
92,40,45,63,29,86,19,81,4,5,39,3,99,14,85,30,84,15,52,88,25,41,56,61,93,67,23,27,16,75,62,20,13,37,77,69,59,80,6,12,87,28,18,22,8,58,70,49,60,55,47,38,32,79,34,46,65,74,89,1,78,26,24,95,90,17,72,82,48,51,11,44,68,42,0,94,35,98,76,9,50,66,57,64,97,54,10,91,2,43,96,36,73,71,21,31,53,7,33,83
35,41,86,30,75,31,29,78,80,37,36,20,64,6,93,45,76,12,18,53,73,49,14,88,2,52,72,27,48,99,69,77,15,89,91,82,28,55,11,7,34,84,16,68,79,85,81,90,50,87,47,74,13,17,61,67,23,43,44,1,62,63,40,3,42,96,70,9,94,98,57,83,33,25,38,46,39,22,8,71,32,60,5,95,21,51,56,66,4,0,24,58,19,10,26,65,59,97,92,54
35,41,86,30,75,31,29,78,80,37,36,20,64,6,93,45,76,12,18,53,23,67,91,82,89,84,16,68,79,85,81,90,50,87,47,74,13,17,61,28,55,11,7,34,15,77,69,99,48,27,72,52,2,88,14,49,73,43,44,1,62,63,40,3,42,96,70,9,8,22,39,46,38,25,33,60,5,95,21,51,56,0,4,66,83,57,98,94,71,32,24,58,19,10,26,65,59,97,92,54
83,33,87,28,18,7,53,31,22,8,21,58,71,38,32,79,34,46,65,74,89,93,15,94,35,54,73,36,96,43,2,91,75,62,20,61,56,41,25,88,52,67,12,10,13,37,77,69,59,80,6,55,60,57,64,97,70,49,66,50,9,76,98,0,42,68,44,11,51,48,82,78,26,23,24,95,27,16,90,17,72,1,47,84,30,85,14,99,3,39,5,4,81,19,86,29,63,45,40,92
