Generation,Time
1,205.282273054123
2,300.007864952087
3,382.433626890182
4,468.684897899628
5,546.949197053909
6,636.139489889145
7,720.91307592392
8,812.149411916733
9,899.30651307106
10,982.159054994583
11,1077.34189796448
12,1158.35506105423
13,1243.56970000267
14,1336.63820099831
15,1417.79879808426
16,1506.94002604485
17,1592.12959194183
18,1681.13758301735
19,1760.02955389023
20,1848.93275094032
21,1935.78792095184
22,2016.93517208099
23,2106.51150107384
24,2187.59687805176
25,2282.67767500877
26,2374.02434396744
27,2459.29479002953
28,2546.15209007263
29,2635.02004790306
30,2718.18040204048
31,2808.99176597595
32,2902.29363298416
33,2985.17985606194
34,3078.15456008911
35,3161.27346491814
36,3244.32618188858
37,3335.52642607689
38,3426.38825106621
39,3522.38380789757
40,3606.1222589016
41,3700.33803892136
42,3792.45691585541
43,3874.40157794952
44,3966.61484289169
45,4050.61645293236
46,4138.28903102875
47,4229.8986530304
48,4319.91955685616
49,4401.62390995026
50,4483.52144193649
51,4573.28330898285
52,4656.99958705902
53,4743.29123902321
54,4823.83697986603
55,4912.56463694572
56,4997.04910302162
57,5085.44201898575
58,5169.29723191261
59,5253.20603704453
60,5347.73216199875
61,5429.54140806198
62,5515.12042188644
63,5601.02828598022
64,5695.34018707275
65,5785.60586500168
66,5879.34945392609
67,5957.03482699394
68,6040.64601802826
69,6128.27221798897
70,6220.13707494736
71,6299.75643205643
72,6389.48454499245
73,6475.3049519062
74,6571.22201704979
75,6665.14751887321
76,6744.64613986015
77,6830.434278965
78,6916.19478297234
79,6999.66654992104
80,7083.43018102646
81,7160.87645506859
82,7250.72182703018
83,7344.64473199844
84,7440.56507706642
85,7524.24010300636
86,7618.26760697365
87,7704.16298007965
88,7784.06057691574
89,7867.69413805008
90,7951.78795790672
91,8039.71418905258
92,8127.51221895218
93,8217.50384902954
94,8303.26691699028
95,8391.18005204201
96,8485.21190595627
97,8562.90741586685
98,8640.58855986595
99,8728.30979800224
100,8816.22132492065
