"Framework","Algorithm","Problem","Seed","HV","GD","IGD"
"rmoo","nsga2","dtlz3",1,36.7293370860305,32.7574343944459,0.714244726804024
"rmoo","nsga2","dtlz3",2,36.1050433960986,19.2113683902377,0.725500975800073
"rmoo","nsga2","dtlz3",3,46.906864626235,44.1275220977909,0.556599741334196
"rmoo","nsga2","dtlz3",4,31.9254351463203,33.0648206374979,0.73695845087495
"rmoo","nsga2","dtlz3",5,31.9506773851568,49.8054465565677,0.73616963091131
"rmoo","nsga2","dtlz3",6,31.999980120783,35.4094495279776,0.73462892042299
"rmoo","nsga2","dtlz3",7,47.9629122912876,19.2462676962689,0.554931372576814
"rmoo","nsga2","dtlz3",8,45.5601672374525,21.6644190350636,0.567717990782481
"rmoo","nsga2","dtlz3",9,45.876222464548,1.84287567551107,0.821438583751419
"rmoo","nsga2","dtlz3",10,47.404410137946,14.3522617736516,0.558441819837309
"rmoo","nsga2","dtlz3",11,30.0458692402874,32.4646107896804,0.795630191322686
