Recall,NFS,SU,MacroF1
-0.964200823791034,0.2803030303030303,-0.45950817161461743,-0.9567991448834301
-0.9634223380733755,0.29545454545454547,-0.46866963327161815,-0.9559224085877392
-0.9628081638903867,0.3181818181818182,-0.5037175459980568,-0.955262703212126
-0.9619355579732571,0.2727272727272727,-0.43647259433930985,-0.9533633227287446
-0.9611490959675077,0.24242424242424243,-0.42574299638904695,-0.9518813429310476
-0.9605157786931011,0.23484848484848486,-0.4149212730886094,-0.9528416050097753
-0.9600068915129104,0.2196969696969697,-0.3914823880575653,-0.9509780999142701
-0.9582313697839064,0.36363636363636365,-0.5633325536475418,-0.9510285301057131
-0.9581101302049269,0.22727272727272727,-0.40317283984197055,-0.9510180067219092
-0.9574560745814842,0.21212121212121213,-0.3678257658987031,-0.9473380206551578
-0.956494134237738,0.21212121212121213,-0.37981345458459864,-0.9478540297781023
-0.9557395773843518,0.3560606060606061,-0.5634119394288883,-0.9487906037078668
-0.9529702101592386,0.4318181818181818,-0.7171810018382353,-0.9469249930805425
-0.9524772755552293,0.42424242424242425,-0.7049979987749799,-0.9462763915973658
-0.9515647881976461,0.2803030303030303,-0.47776505520238877,-0.9414066226114958
-0.9508580890728044,0.4166666666666667,-0.6749206318407864,-0.9459173580730023
-0.9473676654042862,0.49242424242424243,-0.7695803083929273,-0.9384105705022713
-0.9461823889939986,0.4090909090909091,-0.6960238018227611,-0.9373003183117687
-0.9454278321406124,0.4621212121212121,-0.7410816779938745,-0.9382027738491421
-0.942112886810091,0.25,-0.4539657580183831,-0.9288521196752966
-0.9420044092920565,0.21212121212121213,-0.39725730681924565,-0.9327266151292214
-0.9390946593965459,0.19696969696969696,-0.3736251406830076,-0.9323858620385252
-0.9384916520168842,0.19696969696969696,-0.31216904534267376,-0.9445487809620633
-0.9380178605042928,0.3333333333333333,-0.58353544840521,-0.9274114155163984
-0.9376046887811913,0.3787878787878788,-0.6606456296519955,-0.9325936360754643
-0.9358435243707506,0.30303030303030304,-0.5404325931707461,-0.927724201574879
-0.9345864613676462,0.5,-0.7792253342271143,-0.9214238835333106
-0.9342881481930517,0.17424242424242425,-0.33373277573547516,-0.9319775670699912
-0.9342450762373615,0.18181818181818182,-0.3454048062657825,-0.9317776240853165
-0.9330645855999284,0.4015151515151515,-0.6777655686120015,-0.9339581093664451
-0.933059799827074,0.1893939393939394,-0.35710903080991596,-0.93065116435339
-0.9326705569682447,0.17424242424242425,-0.2891192085845882,-0.9376321846939241
-0.9315905675607554,0.4772727272727273,-0.7731735408605572,-0.9206636143280367
-0.9314374228294127,0.19696969696969696,-0.32663085682532256,-0.9329570316886793
-0.9312284440814347,0.23484848484848486,-0.42988363324257367,-0.9265462424095648
-0.9309875601810936,0.22727272727272727,-0.42063006052747925,-0.9179218839136252
-0.929706568313717,0.26515151515151514,-0.4867291803131087,-0.9391988298036497
-0.9287031512718988,0.4318181818181818,-0.7546899555061102,-0.916106965353142
-0.9266532452325726,0.4166666666666667,-0.7405608737706767,-0.9137550730940134
-0.9236685182290088,0.4772727272727273,-0.8029376445405796,-0.9109009621779869
-0.9222678820402708,0.2878787878787879,-0.5204731690645692,-0.9231389600476376
-0.9208768173972415,0.16666666666666666,-0.29265477470997897,-0.9275063748631829
-0.9193405843109603,0.2196969696969697,-0.4366996415349864,-0.9301477456418934
-0.91701788921893,0.4621212121212121,-0.811073160046785,-0.902681607981648
-0.914596288154574,0.4696969696969697,-0.8228816162606596,-0.8997362965118394
-0.9123581417163058,0.24242424242424243,-0.4536995769681725,-0.9237360481021677
