Recall,NFS,SU,MacroF1
-1.0,0.17424242424242425,-0.3540187434969397,-1.0
-1.0,0.17424242424242425,-0.3540187434969397,-1.0
-1.0,0.17424242424242425,-0.3540187434969397,-1.0
-1.0,0.17424242424242425,-0.3540187434969397,-1.0
-1.0,0.17424242424242425,-0.3540187434969397,-1.0
-1.0,0.17424242424242425,-0.3540187434969397,-1.0
-1.0,0.17424242424242425,-0.3540187434969397,-1.0
-1.0,0.17424242424242425,-0.3540187434969397,-1.0
-1.0,0.17424242424242425,-0.3540187434969397,-1.0
-1.0,0.18181818181818182,-0.3772621211519517,-1.0
-1.0,0.18181818181818182,-0.3772621211519517,-1.0
-1.0,0.1893939393939394,-0.3893015285469033,-1.0
-1.0,0.19696969696969696,-0.40194931665589717,-1.0
-1.0,0.19696969696969696,-0.40194931665589717,-1.0
-1.0,0.19696969696969696,-0.40194931665589717,-1.0
-1.0,0.19696969696969696,-0.40194931665589717,-1.0
-1.0,0.20454545454545456,-0.41504814000673,-1.0
-1.0,0.21212121212121213,-0.4276959281157239,-1.0
-1.0,0.2196969696969697,-0.44134975078542654,-1.0
-1.0,0.2196969696969697,-0.44134975078542654,-1.0
-1.0,0.22727272727272727,-0.44987551786478336,-1.0
-0.9991784423266513,0.22727272727272727,-0.44987551786478336,-0.9988760234130372
-1.0,0.23484848484848486,-0.4602746486379556,-1.0
-1.0,0.23484848484848486,-0.4602746486379556,-1.0
-1.0,0.24242424242424243,-0.47418865639661323,-1.0
-0.9991784423266513,0.24242424242424243,-0.47418865639661323,-0.9988760234130372
-1.0,0.25,-0.4894418666812147,-1.0
-1.0,0.25757575757575757,-0.5018351302783922,-1.0
-1.0,0.25757575757575757,-0.5018351302783922,-1.0
-1.0,0.26515151515151514,-0.5119498203408003,-1.0
-0.9991784423266513,0.2727272727272727,-0.5257885153208653,-0.9988760234130372
-0.9991784423266513,0.2803030303030303,-0.5332557664844759,-0.9988760234130372
-1.0,0.2878787878787879,-0.5496566206559773,-1.0
-1.0,0.29545454545454547,-0.5604844569573284,-1.0
-1.0,0.30303030303030304,-0.5672501998996332,-1.0
-1.0,0.3106060606060606,-0.5885583567768862,-1.0
-1.0,0.3181818181818182,-0.5947847581854705,-1.0
-1.0,0.32575757575757575,-0.607737338745801,-1.0
-1.0,0.3333333333333333,-0.6236620197350745,-1.0
-1.0,0.3409090909090909,-0.6322909213414157,-1.0
-1.0,0.3560606060606061,-0.658024788313537,-1.0
-1.0,0.36363636363636365,-0.6697594032571519,-1.0
-1.0,0.3712121212121212,-0.6799786075980321,-1.0
-1.0,0.3712121212121212,-0.6799786075980321,-1.0
-0.9991784423266513,0.38636363636363635,-0.6888600722855719,-0.9988760234130372
-1.0,0.4015151515151515,-0.7219834798641185,-1.0
-1.0,0.4015151515151515,-0.7219834798641185,-1.0
-0.9991784423266513,0.4015151515151515,-0.7219834798641185,-0.9988760234130372
-0.9991784423266513,0.4015151515151515,-0.7219834798641185,-0.9988760234130372
-1.0,0.4015151515151515,-0.7219834798641185,-1.0
-1.0,0.4015151515151515,-0.7219834798641185,-1.0
-1.0,0.4090909090909091,-0.735743852751218,-1.0
-0.9991784423266513,0.4090909090909091,-0.735743852751218,-0.9988760234130372
-1.0,0.4090909090909091,-0.735743852751218,-1.0
-0.9991784423266513,0.4166666666666667,-0.7454782208909538,-0.9988760234130372
-0.9991784423266513,0.4166666666666667,-0.7454782208909538,-0.9988760234130372
-1.0,0.42424242424242425,-0.759238593778053,-1.0
-1.0,0.44696969696969696,-0.782189714101384,-1.0
-0.9991784423266513,0.44696969696969696,-0.782189714101384,-0.9988760234130372
-0.9991784423266513,0.45454545454545453,-0.7989471293303788,-0.9988760234130372
-1.0,0.45454545454545453,-0.7989471293303788,-1.0
-1.0,0.4696969696969697,-0.8230180757419033,-1.0
-0.9987716516340224,0.15151515151515152,-0.3146452780831833,-0.9986507389694955
-0.9992215142823415,0.16666666666666666,-0.32545567951232973,-0.9991004926463304
-0.9986504120550428,0.16666666666666666,-0.32545567951232973,-0.9986504120550428
-0.9993858258170112,0.16666666666666666,-0.32545567951232973,-0.9993252877976877
-0.9992215142823415,0.16666666666666666,-0.32545567951232973,-0.9991004926463304
-0.9993858258170112,0.16666666666666666,-0.32545567951232973,-0.9993252877976877
-0.9996713769306605,0.16666666666666666,-0.32545567951232973,-0.9995502463231651
-0.9992215142823415,0.16666666666666666,-0.32545567951232973,-0.9991004926463304
-0.9996713769306605,0.16666666666666666,-0.32545567951232973,-0.9995502463231651
-0.9992215142823415,0.16666666666666666,-0.32545567951232973,-0.9991004926463304
-0.9992215142823415,0.16666666666666666,-0.32545567951232973,-0.9991004926463304
-0.9993858258170112,0.16666666666666666,-0.32545567951232973,-0.9993252877976877
-0.9993858258170112,0.16666666666666666,-0.32545567951232973,-0.9993252877976877
-0.9992215142823415,0.16666666666666666,-0.32545567951232973,-0.9991004926463304
-0.9990572027476716,0.16666666666666666,-0.32545567951232973,-0.9988757518145914
-0.9995070653959908,0.1590909090909091,-0.3390023719331497,-0.9993254510887549
-0.9995070653959908,0.16666666666666666,-0.3498340478842104,-0.9993254510887549
-0.9995070653959908,0.17424242424242425,-0.3616602147786352,-0.9993254510887549
-0.9986855077226422,0.22727272727272727,-0.45162752561544844,-0.9982022876396026
-0.9986504120550428,0.48484848484848486,-0.823407038711271,-0.9986504120550428
-0.998486100520373,0.23484848484848486,-0.46666033324717715,-0.9984256715279379
-0.9993858258170112,0.24242424242424243,-0.4742440427208429,-0.9993252877976877
-0.9993858258170112,0.25,-0.4924069447070038,-0.9993252877976877
-0.9993858258170112,0.3181818181818182,-0.5965108696334742,-0.9993252877976877
-0.9992215142823415,0.3181818181818182,-0.5965108696334742,-0.9991004926463304
-0.9993858258170112,0.3181818181818182,-0.5965108696334742,-0.9993252877976877
-0.998892891213002,0.22727272727272727,-0.45320181268232423,-0.9986510652195241
-0.998486100520373,0.22727272727272727,-0.45320181268232423,-0.9984256715279379
-0.998486100520373,0.22727272727272727,-0.45320181268232423,-0.9984256715279379
-0.998486100520373,0.22727272727272727,-0.45320181268232423,-0.9984256715279379
-0.9995070653959908,0.5303030303030303,-0.8431065447481304,-0.9993254510887549
-0.998486100520373,0.5303030303030303,-0.8431065447481304,-0.9984256715279379
-0.9995070653959908,0.5303030303030303,-0.8431065447481304,-0.9993254510887549
-1.0,0.2803030303030303,-0.5394091626907266,-1.0
-1.0,0.38636363636363635,-0.7014373028482958,-1.0
-0.9991784423266513,0.38636363636363635,-0.7014373028482958,-0.9988760234130372
-0.9991784423266513,0.4166666666666667,-0.7476252724210316,-0.9988760234130372
-0.9986073400993527,0.3939393939393939,-0.7087064162733601,-0.998426052540428
-0.9983217889857032,0.4318181818181818,-0.7684575478865466,-0.9982009852926607
-0.998892891213002,0.4318181818181818,-0.7684575478865466,-0.9986510652195241
-0.9993858258170112,0.24242424242424243,-0.47747073467632356,-0.9993252877976877
-0.9986855077226422,0.3939393939393939,-0.708987833567216,-0.9982022876396026
-0.9986855077226422,0.3939393939393939,-0.708987833567216,-0.9982022876396026
-0.9986855077226422,0.4318181818181818,-0.7685212211152066,-0.9982022876396026
-0.9986855077226422,0.4318181818181818,-0.7685212211152066,-0.9982022876396026
-0.9986855077226422,0.4318181818181818,-0.7685212211152066,-0.9982022876396026
-0.9986855077226422,0.4318181818181818,-0.7685212211152066,-0.9982022876396026
-0.9986855077226422,0.45454545454545453,-0.8032806662061133,-0.9982022876396026
-0.9985211961879724,0.4621212121212121,-0.8114084813284903,-0.9979778169149573
-0.9986504120550428,0.22727272727272727,-0.45431733758952014,-0.9986504120550428
-0.9993427538613211,0.5151515151515151,-0.8352094225945516,-0.9991007101463494
-0.9995070653959908,0.5151515151515151,-0.8352094225945516,-0.9993254510887549
-0.9990141307919815,0.4393939393939394,-0.7792497996661998,-0.9986513908059773
-0.9986855077226422,0.4318181818181818,-0.7685608728017734,-0.9982022876396026
-0.9985211961879724,0.4318181818181818,-0.7685608728017734,-0.9979778169149573
-0.9985211961879724,0.4393939393939394,-0.7810147882731593,-0.9979778169149573
-0.9992215142823415,0.3939393939393939,-0.7129066593489168,-0.9991004926463304
-0.9986855077226422,0.3484848484848485,-0.6397943172504248,-0.9982022876396026
\,n
