GD,IGD,HV
1.70065019374622,1.95863957253137,5.61534485740284
1.70158238115071,1.95136366692469,5.65013151912072
1.68252249753184,1.92201388248515,5.63796005399311
1.69155122241973,1.92058943370884,5.65737572597381
1.70299939110728,1.97716341983243,5.43983268983825
1.6986100089337,1.97748304348723,5.40367635561061
1.68675669749723,1.91624697033181,5.89375376769385
1.70472512209406,1.96841310322403,5.36943227023461
1.70508721899805,1.97589827226826,5.46147669349935
1.67590474442671,1.9105158531263,5.7168770082494
