GD,IGD,HV
1.69029418462916,1.92409408973128,5.80141138941113
1.68212972746938,1.93465703253849,5.59257367253811
1.69412053672472,1.95311640774973,5.58087097809341
1.69128091428058,1.95879709006265,5.53253674174817
1.70519405112489,1.98603347459483,5.30361450403606
1.69941725041742,1.97451594534047,5.43087537708118
1.68446589455097,1.91631092957639,5.90653835839058
1.69503478681844,1.93344532102601,5.72215721419618
1.68599013999996,1.91975996979901,5.91642197777568
1.66953501574414,1.89927255568718,5.68489225064928
