GD,IGD,HV
1.54452713966015,1.72864472703964,5.54744301350334
1.55776962689894,1.74910346137342,5.3904699082041
1.55994707848455,1.64428580276518,5.69209641777208
1.56655432779891,1.71157582608109,5.69395607035497
1.56929367868927,1.7826548503167,5.51834265141096
1.52837252939766,1.69123897485681,5.4174441931149
1.553723924203,1.77797354682603,5.48815897440189
1.56666424699571,1.78233814445283,5.3358586562288
1.56533563393899,1.76017140276878,5.32363664427984
1.56846020682073,1.79554660136757,5.49793607028491
