GD,IGD,HV
1.57276505136424,1.74168199539225,5.3660075605117
1.56101558615502,1.78217087732653,5.3884062204676
1.55839300686011,1.74325871281637,5.28665141940055
1.57307487742424,1.76289592995083,5.24784075066174
1.58286353372842,1.83845497058014,5.03481529188106
1.58028472046709,1.73157445939127,5.34738455936697
1.53965232517112,1.71236736525454,5.56456383342329
1.56303031417461,1.75834626052352,5.13635726408719
1.57198627782299,1.80059574732644,5.11270493869394
1.59163364559016,1.84321553078548,5.35430105683092
