Generacion,Tiempo
1,0.0434279441833496
2,0.0702030658721924
3,0.101378917694092
4,0.122587919235229
5,0.156911849975586
6,0.176107883453369
7,0.195175886154175
8,0.294318914413452
9,0.319947004318237
10,0.353111028671265
11,0.37825083732605
12,0.397832870483398
13,0.417291879653931
14,0.434741973876953
15,0.452556848526001
16,0.483794927597046
17,0.506861925125122
18,0.540191888809204
19,0.560333967208862
20,0.577847957611084
21,0.599974870681763
22,0.62021803855896
23,0.640164852142334
24,0.662054061889648
25,0.679518938064575
26,0.711276054382324
27,0.730999946594238
28,0.748628854751587
29,0.768079042434692
30,0.788585901260376
31,0.806452989578247
32,0.828512907028198
33,0.849951982498169
34,0.868301868438721
35,0.887624025344849
36,0.922998905181885
37,0.947661876678467
38,0.968225955963135
39,0.989193916320801
40,1.01134896278381
41,1.03586006164551
42,1.06642293930054
43,1.09102296829224
44,1.11853194236755
45,1.16117691993713
46,1.1995530128479
47,1.22541093826294
48,1.25188493728638
49,1.28139090538025
50,1.30020594596863
51,1.32371497154236
52,1.34087991714478
53,1.36371397972107
54,1.3889639377594
55,1.41935086250305
56,1.45302987098694
57,1.47303199768066
58,1.49512386322021
59,1.52079391479492
60,1.54147386550903
61,1.56266903877258
62,1.58088898658752
63,1.60082197189331
64,1.61998295783997
65,1.63860392570496
66,1.67006206512451
67,1.68865704536438
68,1.70733594894409
69,1.72745990753174
70,1.74894189834595
71,1.76916098594666
72,1.79035496711731
73,1.80900597572327
74,1.83777403831482
75,1.87419486045837
76,1.91265392303467
77,1.93239188194275
78,1.95120906829834
79,1.96962094306946
80,1.9888858795166
81,2.01093292236328
82,2.03008794784546
83,2.0498640537262
84,2.06764698028564
85,2.08788895606995
86,2.11822986602783
87,2.14804005622864
88,2.16858386993408
89,2.18856501579285
90,2.20714998245239
91,2.22619986534119
92,2.24569702148438
93,2.266361951828
94,2.28876805305481
95,2.30901002883911
96,2.3415379524231
97,2.36095786094666
98,2.38139605522156
99,2.40299701690674
100,2.42426896095276
101,2.44507598876953
102,2.46587204933167
103,2.4853048324585
104,2.52209901809692
105,2.55197191238403
106,2.57220387458801
107,2.59390902519226
108,2.61583304405212
109,2.63316297531128
110,2.65338802337646
111,2.67452502250671
112,2.69367599487305
113,2.71272802352905
114,2.73342490196228
115,2.76474404335022
116,2.78426098823547
117,2.80425095558167
118,2.82296705245972
119,2.84321188926697
120,2.88432288169861
121,2.90340900421143
122,2.92370700836182
123,2.94514203071594
124,2.97712087631226
125,3.01364088058472
126,3.037437915802
127,3.06563186645508
128,3.08875894546509
129,3.11655497550964
130,3.14166498184204
131,3.16788387298584
132,3.19622993469238
133,3.21993589401245
134,3.24957203865051
135,3.29577398300171
136,3.31984400749207
137,3.34905505180359
138,3.37849187850952
139,3.40181183815002
140,3.43279194831848
141,3.45915794372559
142,3.48614001274109
143,3.51576495170593
144,3.54597401618958
145,3.5715868473053
146,3.60254287719727
147,3.62311005592346
148,3.64335083961487
149,3.66254186630249
150,3.68338990211487
151,3.70191502571106
152,3.72064805030823
153,3.74062085151672
154,3.75949001312256
155,3.77920389175415
156,3.79854488372803
157,3.83041286468506
158,3.85093092918396
159,3.86959004402161
160,3.89628601074219
161,3.9152729511261
162,3.93515300750732
163,3.96104383468628
164,3.98466205596924
165,4.01326394081116
166,4.03268194198608
167,4.06561684608459
168,4.08476901054382
169,4.10348105430603
170,4.1273238658905
171,4.14546990394592
172,4.16444706916809
173,4.18594002723694
174,4.21206903457642
175,4.23272895812988
176,4.25228095054626
177,4.27350997924805
178,4.30308794975281
179,4.32292699813843
180,4.34324598312378
181,4.36537599563599
182,4.38307189941406
183,4.40270400047302
184,4.42421388626099
185,4.44434595108032
186,4.46299004554749
187,4.4829888343811
188,4.50119996070862
189,4.53179502487183
190,4.55075097084045
191,4.57294583320618
192,4.59368801116943
193,4.61182594299316
194,4.63120794296265
195,4.65068101882935
196,4.66945791244507
197,4.68968486785889
198,4.70863389968872
199,4.74058890342712
200,4.75853395462036
201,4.7771430015564
202,4.79700088500977
203,4.81518006324768
204,4.83793091773987
205,4.85761404037476
206,4.87707901000977
207,4.89778399467468
208,4.91726183891296
209,4.94918394088745
210,4.96701097488403
211,4.98545503616333
