"Framework","Algorithm","Problem","Seed","HV","GD","IGD"
"rmoo","nsga3","dtlz7",1,0,4.75867096044945,5.6759570153782
"rmoo","nsga3","dtlz7",2,0,2.20608263465748,3.37916572992141
"rmoo","nsga3","dtlz7",3,108.207320685804,0.392464599981802,0.653148672888688
"rmoo","nsga3","dtlz7",4,161.698257222905,0.396301241822053,0.363692800650573
"rmoo","nsga3","dtlz7",5,0,2.34871483973386,3.43624381971467
"rmoo","nsga3","dtlz7",6,67.5971373122521,0.957753154249748,1.16998206582397
"rmoo","nsga3","dtlz7",7,92.7843998318905,0.576609668846795,0.846147702457439
"rmoo","nsga3","dtlz7",8,48.7801193178696,1.33451580526745,1.47504515945306
"rmoo","nsga3","dtlz7",9,161.866323097402,0.390819811184434,0.361104015530473
"rmoo","nsga3","dtlz7",10,26.6596438609654,0.93029985731073,1.83528131444896
"rmoo","nsga3","dtlz7",11,27.5477942032917,1.68846318313236,1.87920856766065
