"f1","f2"
1.0913711366924983e-09,1.4993527941102587
0.00039495603298305955,1.475057651979439
0.002060656029785113,1.4438074211443899
0.0021184268835959807,1.4430339340399707
0.004571998099301075,1.4165968213052265
0.004571998099301075,1.4165968213052265
0.00746902869719604,1.3935676638707153
0.009552564838454458,1.3797137639918153
0.012960630171123144,1.3599904489756558
0.01649557145037256,1.342124355743946
0.023777768951735445,1.3105751297571901
0.02832000548844661,1.2933277073958964
0.043014942005403345,1.2454318014062475
0.0491208785320905,1.2280052499441916
0.04930680577124683,1.2274918516623852
0.057514831063854056,1.2057311418633747
0.057514831063854056,1.2057311418633747
0.06720475779377066,1.1819558898524405
0.07017284207240876,1.1750221721113001
0.07902354785664018,1.155172864301757
0.08525484210299517,1.141859089627536
0.09274392835190917,1.1264862629603627
0.10124164886355624,1.1097762889117277
0.10897459493954008,1.0951703740235679
0.11618211319334393,1.0820168470490563
0.12428630017194425,1.0677056666617
0.13147630497178153,1.0553942711154358
0.1366487873151483,1.0467445555814132
0.15719577733807003,1.0139054379460013
0.16466450800129712,1.002505950026892
0.18218986430476705,0.9767323295900214
0.212943102190655,0.9343396286198256
0.21943894231600808,0.925785605349221
0.2274305043790236,0.9154340604553644
0.2467578271999239,0.8911272455472842
0.2537439378794061,0.8825771047059713
0.26059491442117,0.8743057025732215
0.2636221196337429,0.8706851746970015
0.2719940722057124,0.8607802273747904
0.28019238043389927,0.8512276453096237
0.29345624566097994,0.8360629190520741
0.2970064181360402,0.8320627633118995
0.3093556514394773,0.8183308861560106
0.321127980014613,0.8054965786077964
0.33194501406055954,0.7939031054486012
0.33739791068084074,0.7881316982221896
0.3481467199241276,0.7768913084862434
0.3627319810323142,0.761912035823912
0.36405035125492,0.7605730419409564
0.37779781126065204,0.7467527473889589
0.39361603516823657,0.7311577211570706
0.4028906176309974,0.7221596437548655
0.4248838183044449,0.7012278970215087
0.43470680218613045,0.6920540002754615
0.4405297958824836,0.6866647638092183
0.4524339960839737,0.6757569977479833
0.4635426102426111,0.6657071623974998
0.47747350965221635,0.6532721515067215
0.4853712422796064,0.6463029726669147
0.5012041390343793,0.6325006296727365
0.5022575996047084,0.6315904750701196
0.5148787606455283,0.6207545250404058
0.5229053809502106,0.6139320950956589
0.5533981004970832,0.5884804878361448
0.5607522004253638,0.5824514606297694
0.5714619164143232,0.5737332492622502
0.5836711563717927,0.5638971833718608
0.5938994612482441,0.5557356775371017
0.609702857111257,0.5432632280425296
0.610865330088931,0.5423521726027929
0.6221107812129891,0.5335832267111491
0.6340138544317953,0.5243871717444877
0.6502767425677058,0.5119618180635327
0.6648697991812615,0.5009436694497738
0.665781760970005,0.500259136933825
0.6831492567714235,0.4873113474716094
0.6836625274657708,0.48693121887734153
0.7027258234737226,0.47291238937152047
0.7143517619103807,0.4644559488663073
0.7358121460003971,0.4490254568779632
0.756804471139811,0.43414746924295383
0.7692384310817606,0.4254323759302563
0.7821676698740966,0.41644465814057985
0.8046083839361615,0.40101943642243565
0.82511570401427,0.38711013894872814
0.8370824146927667,0.3790734169119039
0.8384311990469181,0.37817119936699645
0.8500873862144955,0.3704045167688974
0.8637875671652874,0.3613431698324565
0.8854267106788383,0.3471764301761349
0.8902128970004763,0.3440664667529465
0.9025001149912415,0.33612079397482114
0.9159259443533897,0.3274999449309515
0.916909089334217,0.3268711651095277
0.9350544763537918,0.31532650531450906
0.9449314049931579,0.3090893528154038
0.9580767127935643,0.3008381236139296
0.9630220089256151,0.2977489732857808
0.976323727221913,0.28947883034165633
0.9999998485346128,0.2748958818080623
