Generation,Time
1,137.246698141098
2,196.780438184738
3,257.941797018051
4,319.105581998825
5,378.348719120026
6,435.807933092117
7,490.900921106339
8,552.209570169449
9,605.410370111465
10,660.426728963852
11,721.586650133133
12,780.77280497551
13,844.069391012192
14,909.550173997879
15,970.792837142944
16,1025.93294405937
17,1089.28188705444
18,1151.21313118935
19,1208.31217217445
20,1263.41425800323
21,1320.53381609917
22,1377.61761403084
23,1430.68136906624
24,1492.20818901062
25,1553.42022514343
26,1610.73385000229
27,1669.90594601631
28,1731.15821218491
29,1792.32011008263
30,1855.87242913246
31,1917.15419197083
32,1970.21459102631
33,2033.42909598351
34,2094.52523303032
35,2151.69084596634
36,2205.15109419823
37,2262.2477850914
38,2319.34578108788
39,2374.40683412552
40,2437.3008890152
41,2494.34474396706
42,2555.41716313362
43,2608.40964198112
44,2663.57909417152
45,2724.94065713882
46,2782.31841611862
47,2839.62632107735
48,2896.68538498878
49,2958.58465409279
50,3014.0015411377
51,3075.24718213081
52,3134.59399819374
53,3195.98789715767
54,3257.13171815872
55,3314.57855510712
56,3369.90143203735
57,3427.36405014992
58,3487.03097510338
59,3541.97798204422
60,3599.02467417717
61,3660.16973304749
62,3713.13640904427
63,3772.1898419857
64,3831.07613110542
65,3886.08868002892
66,3945.18245816231
67,4000.29272508621
68,4055.47533917427
69,4114.65516805649
70,4173.75540304184
71,4235.04899716377
72,4290.60266518593
73,4343.74062919617
74,4401.68984508514
75,4457.32288408279
76,4512.72663998604
77,4570.30956315994
78,4631.7515130043
79,4690.82958006859
80,4749.91956019402
81,4807.02441906929
82,4864.09527802467
83,4919.17352819443
84,4976.33708405495
85,5037.77251219749
86,5097.27064609528
87,5144.25525903702
88,5201.4226629734
89,5258.92069196701
90,5316.05111408234
91,5373.34182405472
92,5434.49548697472
93,5495.8055331707
94,5551.0268611908
95,5604.5463039875
96,5657.55757117271
97,5714.72262907028
98,5771.83544707298
99,5827.0838971138
100,5888.29941010475
