Generation,Time
1,3.15129613876343
2,4.66390609741211
3,5.9386739730835
4,7.17889809608459
5,8.50442004203796
6,9.79127812385559
7,11.1570160388947
8,12.5664370059967
9,14.113046169281
10,15.5195050239563
11,16.9542961120605
12,18.3511180877686
13,19.7928521633148
14,21.1806101799011
15,22.8698711395264
16,24.2191860675812
17,25.7770700454712
18,27.1064569950104
19,28.6095790863037
20,30.1454491615295
21,31.351389169693
22,32.8467919826508
23,34.2591321468353
24,35.6761629581451
25,37.346883058548
26,38.6622929573059
27,39.998733997345
28,41.5232810974121
29,42.8230240345001
30,44.0818951129913
31,45.4406850337982
32,46.9352581501007
33,48.4456040859222
34,49.8163120746613
35,51.1163170337677
36,52.4450809955597
37,53.7194499969482
38,55.1112570762634
39,56.4859240055084
40,57.8652560710907
41,59.2074761390686
42,60.5016369819641
43,61.9298000335693
44,63.3357441425323
45,64.5969150066376
46,65.8941121101379
47,67.3621490001678
48,68.5604929924011
49,69.9208240509033
50,71.1612010002136
51,72.5029900074005
52,73.7325069904327
53,75.0759129524231
54,76.3663260936737
55,77.6289801597595
56,78.9855101108551
57,80.4272999763489
58,81.8029420375824
59,83.284765958786
60,84.5422279834747
61,85.7145421504974
62,87.0207540988922
63,88.4764111042023
64,89.7202081680298
65,91.1279661655426
66,92.4897260665894
67,93.7725470066071
68,95.1151931285858
69,96.5249741077423
70,97.9552211761475
71,99.3315279483795
72,100.712567090988
73,102.068593978882
74,103.313097000122
75,104.702629089355
76,106.014526128769
77,107.42530298233
78,108.818603992462
79,110.224665164948
80,111.638255119324
81,112.905946969986
82,114.298213005066
83,115.796898126602
84,117.2496509552
85,118.685302972794
86,120.224883079529
87,121.544445991516
88,122.695877075195
89,124.035915136337
90,125.405421972275
91,126.73425412178
92,128.110327005386
93,129.496289968491
94,130.773287057877
95,132.160886049271
96,133.562888145447
97,134.913773059845
98,136.259772062302
99,137.616461038589
100,138.835658073425
