"Framework","Algorithm","Problem","Seed","HV","GD","IGD"
"deap","nsga2","dtlz1",1,7.93249695273824,0.578356559375526,0.0484538740890275
"deap","nsga2","dtlz1",2,7.90992325465178,0.40990541520483,0.0472540830992928
"deap","nsga2","dtlz1",3,7.97092254329276,0.0187583466628173,0.0182603641100995
"deap","nsga2","dtlz1",4,7.9093243559804,0.751002691986585,0.0906025251458886
"deap","nsga2","dtlz1",5,7.68555663607487,0.738972971675396,0.316545290221548
"deap","nsga2","dtlz1",6,7.86124166797584,0.964261247344412,0.0925099804518371
"deap","nsga2","dtlz1",7,7.7634717523861,1.11457434357461,0.14901537673561
"deap","nsga2","dtlz1",8,7.94334941677448,0.357993771964319,0.0521337937857146
"deap","nsga2","dtlz1",9,7.95706089450613,0.156604913059575,0.0402395047425392
"deap","nsga2","dtlz1",10,7.40330282136888,1.32602174297471,0.248615555788766
"deap","nsga2","dtlz1",11,7.91431918033059,0.706841580689019,0.0405460339793584
